"Open","High","Low","Close","Volume","Date","Emiten"
135,135,135,135,45581500,"2022-11-10","ZATA"
145,182,134,182,264005200,"2022-11-11","ZATA"
202,244,196,244,562685400,"2022-11-14","ZATA"
250,304,244,302,469691300,"2022-11-15","ZATA"
282,358,282,282,445355300,"2022-11-16","ZATA"
264,326,264,264,408844500,"2022-11-17","ZATA"
286,304,246,246,78168900,"2022-11-18","ZATA"
244,256,230,238,184727400,"2022-11-21","ZATA"
242,260,232,246,133668700,"2022-11-22","ZATA"
248,254,234,234,36154200,"2022-11-23","ZATA"
220,236,218,220,41920500,"2022-11-24","ZATA"
206,240,206,238,97447800,"2022-11-25","ZATA"
238,276,222,222,210156000,"2022-11-28","ZATA"
222,238,208,208,120183900,"2022-11-29","ZATA"
208,216,194,194,151211700,"2022-11-30","ZATA"
194,196,181,181,198116900,"2022-12-01","ZATA"
173,180,169,169,89617000,"2022-12-02","ZATA"
167,178,158,173,318609400,"2022-12-05","ZATA"
174,176,161,161,38999900,"2022-12-06","ZATA"
161,161,150,150,72723000,"2022-12-07","ZATA"
140,140,140,140,4275500,"2022-12-08","ZATA"
131,131,131,131,7396300,"2022-12-09","ZATA"
122,137,122,122,154213100,"2022-12-12","ZATA"
114,129,114,122,100790800,"2022-12-13","ZATA"
125,146,119,134,299907000,"2022-12-14","ZATA"
135,148,134,146,128894100,"2022-12-15","ZATA"
146,148,138,138,36497700,"2022-12-16","ZATA"
138,144,130,131,25840600,"2022-12-19","ZATA"
131,145,129,136,76649600,"2022-12-20","ZATA"
139,139,130,132,17888800,"2022-12-21","ZATA"
132,142,132,136,34853600,"2022-12-22","ZATA"
137,140,132,132,17154200,"2022-12-23","ZATA"
133,157,133,141,180616600,"2022-12-26","ZATA"
142,146,138,140,47209400,"2022-12-27","ZATA"
142,145,132,132,47527100,"2022-12-28","ZATA"
130,133,123,123,61476200,"2022-12-29","ZATA"
119,121,115,115,44873200,"2022-12-30","ZATA"
115,127,110,120,207998700,"2023-01-02","ZATA"
121,125,120,121,81945900,"2023-01-03","ZATA"
122,122,115,117,27442700,"2023-01-04","ZATA"
117,122,110,113,28032200,"2023-01-05","ZATA"
114,115,110,112,22151200,"2023-01-06","ZATA"
117,117,105,106,30966300,"2023-01-09","ZATA"
99,107,99,99,33723300,"2023-01-10","ZATA"
93,112,93,110,76574600,"2023-01-11","ZATA"
112,112,103,103,30886400,"2023-01-12","ZATA"
103,108,96,101,25439000,"2023-01-13","ZATA"
99,102,97,99,9367200,"2023-01-16","ZATA"
100,103,93,93,35082000,"2023-01-17","ZATA"
93,93,87,87,33912500,"2023-01-18","ZATA"
81,81,81,81,8398100,"2023-01-19","ZATA"
78,78,76,76,4268900,"2023-01-20","ZATA"
71,71,71,71,5414400,"2023-01-24","ZATA"
67,67,67,67,2081300,"2023-01-25","ZATA"
63,63,63,63,4170700,"2023-01-26","ZATA"
59,59,59,59,1330600,"2023-01-27","ZATA"
55,55,55,55,5665300,"2023-01-30","ZATA"
55,55,55,55,0,"2023-01-31","ZATA"
52,52,52,52,5396100,"2023-02-01","ZATA"
50,50,50,50,8320600,"2023-02-02","ZATA"
50,50,50,50,15788900,"2023-02-03","ZATA"
50,50,50,50,9789800,"2023-02-06","ZATA"
50,67,50,67,425898600,"2023-02-07","ZATA"
74,90,70,88,481435900,"2023-02-08","ZATA"
88,106,82,85,458374400,"2023-02-09","ZATA"
86,94,81,85,163407300,"2023-02-10","ZATA"
86,88,81,81,74410200,"2023-02-13","ZATA"
82,87,79,81,105633100,"2023-02-14","ZATA"
