"Open","High","Low","Close","Volume","Date","Emiten"
135,135,99,110,1010583500,"2022-12-08","PADA"
113,120,103,104,86838000,"2022-12-09","PADA"
105,107,97,101,71520700,"2022-12-12","PADA"
98,111,94,97,225317600,"2022-12-13","PADA"
97,115,97,110,284996700,"2022-12-14","PADA"
112,114,103,107,97956200,"2022-12-15","PADA"
106,113,104,106,23690800,"2022-12-16","PADA"
106,110,99,104,63150100,"2022-12-19","PADA"
103,105,101,103,7045500,"2022-12-20","PADA"
102,125,101,122,405783100,"2022-12-21","PADA"
124,164,118,164,377791800,"2022-12-22","PADA"
175,220,162,220,387879300,"2022-12-23","PADA"
242,242,206,206,35660700,"2022-12-26","PADA"
192,232,192,204,174689800,"2022-12-27","PADA"
204,244,199,238,296171600,"2022-12-28","PADA"
238,282,234,272,386644900,"2022-12-29","PADA"
272,310,254,254,235459400,"2022-12-30","PADA"
252,274,238,270,219610700,"2023-01-02","PADA"
274,284,262,274,128977000,"2023-01-03","PADA"
274,290,256,280,176287100,"2023-01-04","PADA"
280,304,262,262,200955500,"2023-01-05","PADA"
302,302,244,244,70629000,"2023-01-06","PADA"
228,232,228,228,52651500,"2023-01-09","PADA"
214,242,214,214,46497600,"2023-01-10","PADA"
200,224,200,216,69303400,"2023-01-11","PADA"
216,228,208,210,95638300,"2023-01-12","PADA"
210,214,196,196,38664100,"2023-01-13","PADA"
198,216,183,210,170083600,"2023-01-16","PADA"
214,222,197,198,60037200,"2023-01-17","PADA"
195,208,195,200,125220200,"2023-01-18","PADA"
200,212,196,202,113657200,"2023-01-19","PADA"
204,212,200,202,137932400,"2023-01-20","PADA"
202,206,195,195,59641500,"2023-01-24","PADA"
195,196,182,182,14793200,"2023-01-25","PADA"
179,186,175,183,25457700,"2023-01-26","PADA"
183,198,172,197,102220400,"2023-01-27","PADA"
197,202,186,187,55587800,"2023-01-30","PADA"
187,190,182,187,32508900,"2023-01-31","PADA"
188,230,182,226,47395700,"2023-02-01","PADA"
228,234,212,212,86142600,"2023-02-02","PADA"
198,200,198,198,46019100,"2023-02-03","PADA"
