"Open","High","Low","Close","Volume","Date","Emiten"
160,178,140,178,112999000,"2020-01-29","PURA"
180,240,180,240,139488300,"2020-01-30","PURA"
252,278,197,208,134076400,"2020-01-31","PURA"
208,220,189,198,35844800,"2020-02-03","PURA"
198,210,180,196,24363900,"2020-02-04","PURA"
196,218,180,212,45924700,"2020-02-05","PURA"
197,222,184,189,430154800,"2020-02-06","PURA"
189,204,186,191,133859000,"2020-02-07","PURA"
181,256,181,256,330276100,"2020-02-10","PURA"
268,272,230,262,269421500,"2020-02-11","PURA"
260,260,224,228,59777600,"2020-02-12","PURA"
228,244,224,226,33069000,"2020-02-13","PURA"
228,238,216,226,46867900,"2020-02-14","PURA"
230,230,218,224,7907300,"2020-02-17","PURA"
224,234,204,204,52079500,"2020-02-18","PURA"
206,224,204,206,47903000,"2020-02-19","PURA"
208,220,200,206,33849100,"2020-02-20","PURA"
206,210,202,206,21094800,"2020-02-21","PURA"
206,206,170,180,8108600,"2020-02-24","PURA"
181,192,171,181,19323500,"2020-02-25","PURA"
183,189,171,180,22027200,"2020-02-26","PURA"
180,186,173,173,2707300,"2020-02-27","PURA"
175,175,139,143,1676800,"2020-02-28","PURA"
143,155,130,142,4506100,"2020-03-02","PURA"
144,150,130,145,11368700,"2020-03-03","PURA"
145,195,139,146,113998700,"2020-03-04","PURA"
146,153,138,145,29429200,"2020-03-05","PURA"
145,152,137,141,8252900,"2020-03-06","PURA"
140,147,127,139,11044900,"2020-03-09","PURA"
135,156,135,139,47985800,"2020-03-10","PURA"
141,187,126,126,152044200,"2020-03-11","PURA"
116,125,114,114,2954500,"2020-03-12","PURA"
108,109,107,107,1893700,"2020-03-13","PURA"
100,133,100,115,105762100,"2020-03-16","PURA"
114,129,107,107,91284000,"2020-03-17","PURA"
101,115,100,100,95117700,"2020-03-18","PURA"
94,101,93,93,58574200,"2020-03-19","PURA"
93,93,87,87,3222300,"2020-03-20","PURA"
81,90,81,81,28379700,"2020-03-23","PURA"
79,104,76,78,143093100,"2020-03-24","PURA"
79,84,74,79,30014300,"2020-03-26","PURA"
79,86,74,74,54792100,"2020-03-27","PURA"
73,79,70,79,29205500,"2020-03-30","PURA"
79,87,76,80,131686500,"2020-03-31","PURA"
81,83,76,77,37255700,"2020-04-01","PURA"
77,79,74,75,24748700,"2020-04-02","PURA"
75,76,70,71,49109400,"2020-04-03","PURA"
71,78,70,76,82053500,"2020-04-06","PURA"
77,83,72,75,88431300,"2020-04-07","PURA"
76,76,71,72,21042600,"2020-04-08","PURA"
73,75,70,74,36170800,"2020-04-09","PURA"
69,78,69,78,35711900,"2020-04-13","PURA"
78,80,78,79,33020100,"2020-04-14","PURA"
80,81,74,74,87579300,"2020-04-15","PURA"
72,75,69,74,37097400,"2020-04-16","PURA"
76,99,71,99,101947600,"2020-04-17","PURA"
105,107,93,93,296376000,"2020-04-20","PURA"
90,99,87,87,200936700,"2020-04-21","PURA"
85,85,81,81,25004400,"2020-04-22","PURA"
79,82,76,81,13768900,"2020-04-23","PURA"
82,91,79,90,37474400,"2020-04-24","PURA"
92,92,84,84,32709000,"2020-04-27","PURA"
84,84,79,79,19691100,"2020-04-28","PURA"
79,80,74,75,31336600,"2020-04-29","PURA"
76,81,76,81,45381700,"2020-04-30","PURA"
80,82,77,80,25145000,"2020-05-04","PURA"
81,84,79,83,31582500,"2020-05-05","PURA"
84,85,78,82,37884700,"2020-05-06","PURA"
83,83,79,81,9477400,"2020-05-08","PURA"
81,83,76,76,30516300,"2020-05-11","PURA"
76,79,71,79,162885700,"2020-05-12","PURA"
80,81,74,78,174405800,"2020-05-13","PURA"
77,78,73,75,160361500,"2020-05-14","PURA"
75,82,75,80,35462300,"2020-05-15","PURA"
80,80,75,77,91897600,"2020-05-18","PURA"
77,80,74,76,42253700,"2020-05-19","PURA"
76,84,72,83,99280500,"2020-05-20","PURA"
83,83,78,79,55279000,"2020-05-26","PURA"
79,80,74,74,91565100,"2020-05-27","PURA"
73,77,70,75,151622000,"2020-05-28","PURA"
70,76,70,75,56457600,"2020-05-29","PURA"
75,77,73,77,34450400,"2020-06-02","PURA"
77,77,74,75,46943100,"2020-06-03","PURA"
76,77,75,77,21596800,"2020-06-04","PURA"
77,78,72,74,136973900,"2020-06-05","PURA"
75,75,71,73,105149900,"2020-06-08","PURA"
73,74,71,72,51879700,"2020-06-09","PURA"
72,74,72,74,52292000,"2020-06-10","PURA"
74,75,73,75,72065000,"2020-06-11","PURA"
75,75,70,72,319632500,"2020-06-12","PURA"
67,84,67,84,279190100,"2020-06-15","PURA"
84,96,80,96,265468200,"2020-06-16","PURA"
98,108,91,101,211415300,"2020-06-17","PURA"
102,106,94,98,218221100,"2020-06-18","PURA"
98,102,94,95,110182800,"2020-06-19","PURA"
95,101,90,93,120182500,"2020-06-22","PURA"
94,99,93,97,62067800,"2020-06-23","PURA"
97,99,93,93,63810600,"2020-06-24","PURA"
94,96,93,95,42393700,"2020-06-25","PURA"
96,99,92,98,66973800,"2020-06-26","PURA"
98,102,96,101,71713200,"2020-06-29","PURA"
101,102,94,95,144866700,"2020-06-30","PURA"
95,97,94,96,55797600,"2020-07-01","PURA"
96,98,94,97,45992700,"2020-07-02","PURA"
97,97,91,92,144049600,"2020-07-03","PURA"
93,98,91,98,98932600,"2020-07-06","PURA"
98,114,96,114,145990400,"2020-07-07","PURA"
114,145,114,141,202529100,"2020-07-08","PURA"
