"Open","High","Low","Close","Volume","Date","Emiten"
110,135,93,117,924347200,"2023-02-08","HALO"
118,127,110,118,153424400,"2023-02-09","HALO"
118,137,117,131,445460900,"2023-02-10","HALO"
133,133,122,122,67186000,"2023-02-13","HALO"
114,125,114,119,74972900,"2023-02-14","HALO"
120,129,118,126,131676100,"2023-02-15","HALO"
127,127,122,122,30929200,"2023-02-16","HALO"
123,125,115,116,28320500,"2023-02-17","HALO"
116,122,110,113,22371500,"2023-02-20","HALO"
113,116,109,112,15316700,"2023-02-21","HALO"
114,118,112,114,21636500,"2023-02-22","HALO"
115,121,111,115,56073600,"2023-02-23","HALO"
116,117,112,112,25950400,"2023-02-24","HALO"
113,114,111,112,9139800,"2023-02-27","HALO"
112,113,111,112,4736400,"2023-02-28","HALO"
112,113,109,112,11539600,"2023-03-01","HALO"
112,113,105,109,19803800,"2023-03-02","HALO"
109,120,109,114,66258800,"2023-03-03","HALO"
114,120,113,117,58812400,"2023-03-06","HALO"
118,118,111,117,28316500,"2023-03-07","HALO"
116,118,112,116,24190700,"2023-03-08","HALO"
116,122,114,120,45372600,"2023-03-09","HALO"
121,122,116,118,25459700,"2023-03-10","HALO"
118,125,116,120,53702100,"2023-03-13","HALO"
121,125,116,117,40161900,"2023-03-14","HALO"
119,123,118,123,26099800,"2023-03-15","HALO"
124,166,119,166,258191200,"2023-03-16","HALO"
180,224,166,220,339205100,"2023-03-17","HALO"
220,266,206,224,253868500,"2023-03-20","HALO"
226,246,210,210,153528600,"2023-03-21","HALO"
202,224,196,196,123710500,"2023-03-24","HALO"
196,202,191,193,49778800,"2023-03-27","HALO"
193,218,186,202,93031900,"2023-03-28","HALO"
202,210,197,204,47945600,"2023-03-29","HALO"
204,212,200,206,42480800,"2023-03-30","HALO"
206,220,204,212,66667900,"2023-03-31","HALO"
212,238,198,220,222703100,"2023-04-03","HALO"
220,274,212,260,212592900,"2023-04-04","HALO"
262,306,248,286,159852700,"2023-04-05","HALO"
288,304,278,300,64218600,"2023-04-06","HALO"
300,302,280,286,34856100,"2023-04-10","HALO"
288,296,266,288,31154500,"2023-04-11","HALO"
290,328,268,268,21878100,"2023-04-12","HALO"
250,278,250,272,38861800,"2023-04-13","HALO"
274,296,264,276,67208400,"2023-04-14","HALO"
306,306,260,260,27785400,"2023-04-17","HALO"
272,272,244,262,28678200,"2023-04-18","HALO"
262,268,244,248,20631500,"2023-04-26","HALO"
248,282,232,232,64251500,"2023-04-27","HALO"
230,232,216,220,41448400,"2023-04-28","HALO"
226,238,216,228,22548700,"2023-05-02","HALO"
230,236,228,236,15794400,"2023-05-03","HALO"
238,242,230,238,17831500,"2023-05-04","HALO"
238,240,222,222,30199700,"2023-05-05","HALO"
222,226,208,208,35056200,"2023-05-08","HALO"
206,214,200,200,14098500,"2023-05-09","HALO"
202,208,189,194,36062500,"2023-05-10","HALO"
194,222,189,195,94426800,"2023-05-11","HALO"
196,206,194,202,40878300,"2023-05-12","HALO"
202,208,188,188,92245900,"2023-05-15","HALO"
182,194,177,191,37731600,"2023-05-16","HALO"
191,194,179,189,27297400,"2023-05-17","HALO"
189,199,176,176,34835200,"2023-05-19","HALO"
174,180,164,177,10123300,"2023-05-22","HALO"
180,180,165,165,27866900,"2023-05-23","HALO"
165,166,154,156,77512800,"2023-05-24","HALO"
155,162,146,158,86987600,"2023-05-25","HALO"
160,188,147,147,103204300,"2023-05-26","HALO"
148,180,137,150,151301800,"2023-05-29","HALO"
151,174,151,159,51376600,"2023-05-30","HALO"
160,162,148,148,13292400,"2023-05-31","HALO"
148,148,126,126,25670000,"2023-06-05","HALO"
124,134,118,119,57820400,"2023-06-06","HALO"
117,123,115,116,16649700,"2023-06-07","HALO"
118,122,116,120,8067300,"2023-06-08","HALO"
121,148,117,121,99982600,"2023-06-09","HALO"
121,144,121,129,89534600,"2023-06-12","HALO"
131,131,119,121,32170000,"2023-06-13","HALO"
121,134,103,105,137365200,"2023-06-14","HALO"
95,108,95,104,17319500,"2023-06-15","HALO"
105,111,102,111,28793000,"2023-06-16","HALO"
111,122,111,120,36354500,"2023-06-19","HALO"
121,125,117,120,18554200,"2023-06-20","HALO"
120,121,113,119,10888600,"2023-06-21","HALO"
119,122,117,119,7139000,"2023-06-22","HALO"
120,120,116,119,8767700,"2023-06-23","HALO"
119,119,115,119,3284300,"2023-06-26","HALO"
119,122,115,119,12609100,"2023-06-27","HALO"
119,125,119,121,10111000,"2023-07-03","HALO"
122,132,122,126,46492000,"2023-07-04","HALO"
126,132,121,126,31275400,"2023-07-05","HALO"
126,127,119,119,18719000,"2023-07-06","HALO"
118,119,106,109,25443700,"2023-07-07","HALO"
109,113,104,106,22783100,"2023-07-10","HALO"
106,109,100,107,18315100,"2023-07-11","HALO"
107,111,104,105,8030700,"2023-07-12","HALO"
107,107,102,104,4831600,"2023-07-13","HALO"
104,106,94,105,28278200,"2023-07-14","HALO"
105,105,97,98,20746600,"2023-07-17","HALO"
98,100,84,100,35588800,"2023-07-18","HALO"
102,105,95,95,13601300,"2023-07-20","HALO"
95,102,88,95,23734300,"2023-07-21","HALO"
95,98,82,85,44742200,"2023-07-24","HALO"
77,88,77,86,9081400,"2023-07-25","HALO"
86,88,82,85,23789100,"2023-07-26","HALO"
85,92,84,88,23833600,"2023-07-27","HALO"
94,94,85,88,10487100,"2023-07-28","HALO"
88,89,85,88,3168700,"2023-07-31","HALO"
88,90,85,87,10075000,"2023-08-01","HALO"
87,94,84,87,12448400,"2023-08-02","HALO"
87,88,80,86,6590000,"2023-08-03","HALO"
85,90,83,84,15063200,"2023-08-04","HALO"
84,84,79,80,10222400,"2023-08-07","HALO"
80,81,75,77,8041500,"2023-08-08","HALO"
77,88,75,78,37369200,"2023-08-09","HALO"
78,88,75,78,63671100,"2023-08-10","HALO"
75,79,75,75,7923000,"2023-08-11","HALO"
75,86,73,78,101985400,"2023-08-14","HALO"
78,82,77,80,14019800,"2023-08-15","HALO"
81,87,72,76,67239200,"2023-08-16","HALO"
73,77,70,70,28595200,"2023-08-18","HALO"
62,71,62,67,16307900,"2023-08-21","HALO"
68,72,66,69,7804600,"2023-08-22","HALO"
69,71,69,70,4613000,"2023-08-23","HALO"
69,71,64,65,15786900,"2023-08-24","HALO"
65,66,60,64,18742400,"2023-08-25","HALO"
56,66,56,66,19312800,"2023-08-28","HALO"
66,75,59,59,72758800,"2023-08-29","HALO"
54,61,54,57,33525300,"2023-08-30","HALO"
50,60,50,58,13718300,"2023-08-31","HALO"
59,62,57,60,9228000,"2023-09-01","HALO"
60,61,58,59,6080100,"2023-09-04","HALO"
60,60,55,59,13611400,"2023-09-05","HALO"
59,59,54,55,22644800,"2023-09-06","HALO"
55,55,53,54,4001100,"2023-09-07","HALO"
54,63,53,57,86948100,"2023-09-08","HALO"
58,61,55,57,39750900,"2023-09-11","HALO"
58,58,56,57,9411300,"2023-09-12","HALO"
57,59,56,56,5681400,"2023-09-13","HALO"
57,70,57,66,291829800,"2023-09-14","HALO"
66,67,58,58,71480400,"2023-09-15","HALO"
58,60,56,58,17703100,"2023-09-18","HALO"
58,59,56,57,9004500,"2023-09-19","HALO"
57,62,57,59,17269200,"2023-09-20","HALO"
59,62,57,61,15442200,"2023-09-21","HALO"
62,66,61,63,49905600,"2023-09-22","HALO"
63,74,63,69,106388500,"2023-09-25","HALO"
71,72,65,66,30515500,"2023-09-26","HALO"
66,83,62,71,222069400,"2023-09-27","HALO"
71,79,68,74,110610900,"2023-09-29","HALO"
74,82,71,77,91564200,"2023-10-02","HALO"
77,89,76,83,181572500,"2023-10-03","HALO"
84,89,76,79,132022900,"2023-10-04","HALO"
78,82,78,80,31795800,"2023-10-05","HALO"
80,80,71,72,26445900,"2023-10-06","HALO"
72,83,67,71,60430400,"2023-10-09","HALO"
72,76,70,75,13003300,"2023-10-10","HALO"
75,77,72,75,23651100,"2023-10-11","HALO"
75,75,71,71,7488300,"2023-10-12","HALO"
71,75,67,71,28454000,"2023-10-13","HALO"
71,79,63,67,222026100,"2023-10-16","HALO"
67,80,66,67,212527000,"2023-10-17","HALO"
68,69,60,67,113856000,"2023-10-18","HALO"
67,73,60,61,223083300,"2023-10-19","HALO"
61,62,53,60,85673800,"2023-10-20","HALO"
60,60,57,58,10686000,"2023-10-23","HALO"
58,59,57,58,3698200,"2023-10-24","HALO"
58,58,56,57,9044900,"2023-10-25","HALO"
57,58,54,55,12922100,"2023-10-26","HALO"
55,58,50,50,96011600,"2023-10-27","HALO"
50,51,50,50,17053700,"2023-10-30","HALO"
50,51,50,50,8353600,"2023-10-31","HALO"
50,51,50,50,4608200,"2023-11-01","HALO"
50,51,50,50,5806700,"2023-11-02","HALO"
50,51,50,50,4045700,"2023-11-03","HALO"
50,51,50,51,4508200,"2023-11-06","HALO"
51,54,50,51,11309800,"2023-11-07","HALO"
51,51,50,51,1809000,"2023-11-08","HALO"
50,51,50,50,2196800,"2023-11-09","HALO"
50,51,50,50,4650800,"2023-11-10","HALO"
50,52,50,50,5861900,"2023-11-13","HALO"
51,51,50,51,3594900,"2023-11-14","HALO"
51,53,51,52,8352100,"2023-11-15","HALO"
53,53,51,53,5105800,"2023-11-16","HALO"
53,53,51,53,5514900,"2023-11-17","HALO"
53,54,52,53,4115300,"2023-11-20","HALO"
52,54,52,52,3251100,"2023-11-21","HALO"
52,53,51,51,2441200,"2023-11-22","HALO"
52,52,51,51,5153400,"2023-11-23","HALO"
51,52,51,51,1415000,"2023-11-24","HALO"
52,52,51,51,2782400,"2023-11-27","HALO"
51,51,50,51,2529900,"2023-11-28","HALO"
51,52,50,51,1944700,"2023-11-29","HALO"
52,52,50,51,2535000,"2023-11-30","HALO"
50,52,50,52,2410700,"2023-12-01","HALO"
52,53,50,51,2702500,"2023-12-04","HALO"
51,55,50,54,14463500,"2023-12-05","HALO"
52,55,51,53,12849100,"2023-12-06","HALO"
53,54,51,52,5395300,"2023-12-07","HALO"
52,52,50,52,4511400,"2023-12-08","HALO"
51,52,50,50,6858400,"2023-12-11","HALO"
50,58,50,51,58663800,"2023-12-12","HALO"
51,52,50,50,15224600,"2023-12-13","HALO"
50,52,50,50,91533200,"2023-12-14","HALO"
50,51,50,50,3159600,"2023-12-15","HALO"
50,51,50,50,1404600,"2023-12-18","HALO"
50,51,50,50,3829400,"2023-12-19","HALO"
50,65,50,54,309430500,"2023-12-20","HALO"
54,55,50,50,117388600,"2023-12-21","HALO"
51,51,50,51,26733400,"2023-12-22","HALO"
50,51,50,50,10640200,"2023-12-27","HALO"
50,50,50,50,2064400,"2023-12-28","HALO"
50,50,50,50,907700,"2023-12-29","HALO"
50,50,50,50,944200,"2024-01-02","HALO"
50,50,50,50,197900,"2024-01-03","HALO"
50,50,50,50,445100,"2024-01-04","HALO"
50,50,50,50,1222600,"2024-01-05","HALO"
50,50,50,50,287000,"2024-01-08","HALO"
50,50,50,50,393200,"2024-01-09","HALO"
50,50,50,50,36300,"2024-01-10","HALO"
50,50,50,50,345700,"2024-01-11","HALO"
50,50,50,50,225600,"2024-01-12","HALO"
50,50,50,50,0,"2024-01-15","HALO"
50,50,50,50,1122600,"2024-01-16","HALO"
50,50,50,50,2291700,"2024-01-17","HALO"
50,50,50,50,871100,"2024-01-18","HALO"
50,50,50,50,6100,"2024-01-19","HALO"
50,50,50,50,286600,"2024-01-22","HALO"
50,50,50,50,73600,"2024-01-23","HALO"
50,50,50,50,110100,"2024-01-24","HALO"
50,50,50,50,617400,"2024-01-25","HALO"
50,50,50,50,110100,"2024-01-26","HALO"
