"Open","High","Low","Close","Volume","Date","Emiten"
109,113,109,109,16311600,"2022-07-26","KRYA"
102,102,102,102,8788500,"2022-07-27","KRYA"
95,118,95,107,224365900,"2022-07-28","KRYA"
107,112,101,102,55226800,"2022-07-29","KRYA"
102,105,99,100,29149000,"2022-08-01","KRYA"
99,102,93,95,39008600,"2022-08-02","KRYA"
95,99,89,92,35895100,"2022-08-03","KRYA"
86,93,86,90,23151300,"2022-08-04","KRYA"
90,112,89,107,265427700,"2022-08-05","KRYA"
108,110,100,100,67855500,"2022-08-08","KRYA"
100,101,96,99,24510500,"2022-08-09","KRYA"
99,100,96,98,11037500,"2022-08-10","KRYA"
98,127,98,123,269939200,"2022-08-11","KRYA"
126,133,115,116,250860400,"2022-08-12","KRYA"
116,126,116,123,98275000,"2022-08-15","KRYA"
124,128,120,122,94099000,"2022-08-16","KRYA"
124,126,119,124,56612900,"2022-08-18","KRYA"
127,161,124,161,201583400,"2022-08-19","KRYA"
163,210,150,206,357839800,"2022-08-22","KRYA"
210,234,194,218,330174700,"2022-08-23","KRYA"
216,226,204,216,154378400,"2022-08-24","KRYA"
218,270,206,270,269280200,"2022-08-25","KRYA"
272,300,252,252,135001500,"2022-08-26","KRYA"
236,254,236,236,62380500,"2022-08-29","KRYA"
224,240,220,220,76393700,"2022-08-30","KRYA"
220,244,214,234,122905500,"2022-08-31","KRYA"
234,280,230,266,178361500,"2022-09-01","KRYA"
264,312,258,284,273451400,"2022-09-02","KRYA"
282,340,276,330,202555600,"2022-09-05","KRYA"
330,340,312,322,126402700,"2022-09-06","KRYA"
322,374,300,360,136310400,"2022-09-07","KRYA"
356,384,350,368,72560900,"2022-09-08","KRYA"
366,374,344,344,64631600,"2022-09-09","KRYA"
320,326,320,320,24059200,"2022-09-12","KRYA"
338,338,298,330,85400900,"2022-09-13","KRYA"
330,354,326,352,93166500,"2022-09-14","KRYA"
358,362,328,328,77714900,"2022-09-15","KRYA"
328,352,306,352,64219300,"2022-09-16","KRYA"
352,370,346,370,60001200,"2022-09-19","KRYA"
370,384,346,346,40810900,"2022-09-20","KRYA"
336,344,322,322,38860600,"2022-09-21","KRYA"
312,328,300,312,110184700,"2022-09-22","KRYA"
312,318,308,314,28445300,"2022-09-23","KRYA"
314,328,306,328,38743500,"2022-09-26","KRYA"
330,340,306,306,66721900,"2022-09-27","KRYA"
302,302,286,286,31114800,"2022-09-28","KRYA"
294,294,266,266,9033900,"2022-09-29","KRYA"
250,270,248,270,59792600,"2022-09-30","KRYA"
266,274,252,252,51943800,"2022-10-03","KRYA"
244,254,236,240,21384300,"2022-10-04","KRYA"
230,252,228,252,51529200,"2022-10-05","KRYA"
254,288,242,282,130747900,"2022-10-06","KRYA"
286,300,272,294,108275600,"2022-10-07","KRYA"
298,300,280,292,26438900,"2022-10-10","KRYA"
