"Open","High","Low","Close","Volume","Date","Emiten"
120,135,115,135,20545700,"2023-05-08","JATI"
182,182,146,182,355126800,"2023-05-09","JATI"
202,244,195,230,893541500,"2023-05-10","JATI"
230,236,214,214,286666300,"2023-05-11","JATI"
200,220,200,214,165599300,"2023-05-12","JATI"
216,220,202,208,168840900,"2023-05-15","JATI"
206,214,194,194,151891200,"2023-05-16","JATI"
193,194,181,181,69304700,"2023-05-17","JATI"
173,175,169,169,3530700,"2023-05-19","JATI"
158,179,158,168,140279600,"2023-05-22","JATI"
168,189,157,164,160753800,"2023-05-23","JATI"
164,176,161,166,78288800,"2023-05-24","JATI"
166,169,162,166,90703600,"2023-05-25","JATI"
167,174,159,164,95174600,"2023-05-26","JATI"
164,167,161,164,121585300,"2023-05-29","JATI"
164,167,162,163,102256500,"2023-05-30","JATI"
162,164,154,156,91884800,"2023-05-31","JATI"
155,156,141,147,91845500,"2023-06-05","JATI"
147,158,143,147,109873600,"2023-06-06","JATI"
147,149,143,145,130619400,"2023-06-07","JATI"
143,148,141,142,109186000,"2023-06-08","JATI"
142,142,134,140,88473800,"2023-06-09","JATI"
138,145,135,145,124333900,"2023-06-12","JATI"
145,152,139,151,112993700,"2023-06-13","JATI"
151,167,151,164,108909900,"2023-06-14","JATI"
166,167,152,164,101913600,"2023-06-15","JATI"
170,170,159,168,93641200,"2023-06-16","JATI"
168,177,164,172,103814700,"2023-06-19","JATI"
172,173,166,166,80037800,"2023-06-20","JATI"
166,166,155,161,75321000,"2023-06-21","JATI"
161,162,157,159,67236400,"2023-06-22","JATI"
160,169,156,167,83219900,"2023-06-23","JATI"
169,170,159,162,92007600,"2023-06-26","JATI"
162,162,155,160,54775700,"2023-06-27","JATI"
160,170,157,170,110944500,"2023-07-03","JATI"
169,175,167,174,126926200,"2023-07-04","JATI"
176,179,171,177,78237400,"2023-07-05","JATI"
178,179,169,177,89943000,"2023-07-06","JATI"
178,179,169,171,74849900,"2023-07-07","JATI"
171,173,161,164,79412200,"2023-07-10","JATI"
162,168,160,167,71279100,"2023-07-11","JATI"
167,167,157,157,68010000,"2023-07-12","JATI"
155,155,139,147,60769400,"2023-07-13","JATI"
147,148,143,148,85443200,"2023-07-14","JATI"
148,150,141,141,95474000,"2023-07-17","JATI"
141,141,136,138,80408200,"2023-07-18","JATI"
138,140,132,139,106132400,"2023-07-20","JATI"
138,140,136,140,75917200,"2023-07-21","JATI"
140,142,136,140,72604700,"2023-07-24","JATI"
141,141,136,139,102339600,"2023-07-25","JATI"
138,138,125,135,93662000,"2023-07-26","JATI"
135,135,128,129,59125200,"2023-07-27","JATI"
129,129,110,110,121599000,"2023-07-28","JATI"
100,108,94,94,53051700,"2023-07-31","JATI"
80,80,80,80,19606200,"2023-08-01","JATI"
70,85,68,79,44977400,"2023-08-02","JATI"
70,81,68,68,85345600,"2023-08-03","JATI"
58,66,58,62,27637100,"2023-08-04","JATI"
53,69,53,68,83964800,"2023-08-07","JATI"
69,91,68,91,169423700,"2023-08-08","JATI"
100,100,78,84,66721700,"2023-08-09","JATI"
84,87,79,82,32440100,"2023-08-10","JATI"
83,90,81,86,78955100,"2023-08-11","JATI"
87,87,81,81,58676600,"2023-08-14","JATI"
81,82,75,78,63339200,"2023-08-15","JATI"
78,79,73,79,71228800,"2023-08-16","JATI"
80,80,74,78,69345400,"2023-08-18","JATI"
78,80,75,80,96719000,"2023-08-21","JATI"
80,87,77,83,110454000,"2023-08-22","JATI"
83,84,79,80,87955900,"2023-08-23","JATI"
80,80,75,78,110328200,"2023-08-24","JATI"
71,78,71,75,93085300,"2023-08-25","JATI"
75,76,71,73,114699400,"2023-08-28","JATI"
73,75,70,73,95934000,"2023-08-29","JATI"
74,74,69,71,76126900,"2023-08-30","JATI"
72,74,70,74,145606500,"2023-08-31","JATI"
74,76,71,74,94418600,"2023-09-01","JATI"
74,76,72,75,148007500,"2023-09-04","JATI"
75,76,72,74,163510700,"2023-09-05","JATI"
74,75,71,74,98941800,"2023-09-06","JATI"
74,77,72,77,124356600,"2023-09-07","JATI"
77,79,75,78,121371500,"2023-09-08","JATI"
78,83,75,79,154906400,"2023-09-11","JATI"
79,80,77,80,153941900,"2023-09-12","JATI"
80,81,78,81,128323700,"2023-09-13","JATI"
80,82,79,82,128443000,"2023-09-14","JATI"
82,86,80,86,236519600,"2023-09-15","JATI"
87,89,84,88,175814700,"2023-09-18","JATI"
88,90,86,89,225758700,"2023-09-19","JATI"
89,92,87,92,301764200,"2023-09-20","JATI"
92,98,92,98,249324300,"2023-09-21","JATI"
99,99,89,97,294573200,"2023-09-22","JATI"
97,98,93,93,165166200,"2023-09-25","JATI"
93,93,86,90,174525600,"2023-09-26","JATI"
90,90,87,90,158538600,"2023-09-27","JATI"
90,91,87,91,148360100,"2023-09-29","JATI"
91,92,88,91,181832800,"2023-10-02","JATI"
91,92,89,91,190733700,"2023-10-03","JATI"
91,91,88,90,151638600,"2023-10-04","JATI"
90,91,88,91,129300700,"2023-10-05","JATI"
91,92,89,92,199516100,"2023-10-06","JATI"
90,94,90,93,139453300,"2023-10-09","JATI"
93,94,92,93,119829300,"2023-10-10","JATI"
92,94,92,94,172441900,"2023-10-11","JATI"
94,94,91,91,120915200,"2023-10-12","JATI"
91,91,84,88,69913200,"2023-10-13","JATI"
88,88,83,87,136078400,"2023-10-16","JATI"
87,87,84,87,90406300,"2023-10-17","JATI"
87,87,84,87,97578600,"2023-10-18","JATI"
87,87,85,87,108219300,"2023-10-19","JATI"
87,87,83,85,86135500,"2023-10-20","JATI"
85,85,80,80,94367400,"2023-10-23","JATI"
79,79,72,79,105914600,"2023-10-24","JATI"
78,78,75,78,118020500,"2023-10-25","JATI"
77,78,75,75,88109500,"2023-10-26","JATI"
75,75,73,75,81631600,"2023-10-27","JATI"
75,75,70,73,122707900,"2023-10-30","JATI"
73,73,71,73,78007900,"2023-10-31","JATI"
73,73,70,71,82853500,"2023-11-01","JATI"
71,73,70,73,81411600,"2023-11-02","JATI"
73,74,71,74,56631000,"2023-11-03","JATI"
73,76,73,76,53215300,"2023-11-06","JATI"
76,77,72,72,44089600,"2023-11-07","JATI"
71,71,66,67,24413900,"2023-11-08","JATI"
67,67,63,66,57569800,"2023-11-09","JATI"
63,66,58,65,9897400,"2023-11-10","JATI"
64,65,62,63,44758200,"2023-11-13","JATI"
63,63,60,62,2600300,"2023-11-14","JATI"
55,62,55,62,24480900,"2023-11-15","JATI"
61,62,60,61,30819400,"2023-11-16","JATI"
61,61,50,50,48248400,"2023-11-17","JATI"
51,54,50,52,11802000,"2023-11-20","JATI"
52,63,52,55,43657600,"2023-11-21","JATI"
55,58,52,54,14231700,"2023-11-22","JATI"
54,55,52,54,3569000,"2023-11-23","JATI"
54,55,52,53,4905700,"2023-11-24","JATI"
52,53,50,50,11151800,"2023-11-27","JATI"
51,53,50,52,3101700,"2023-11-28","JATI"
52,52,50,51,4504500,"2023-11-29","JATI"
51,52,50,50,3848600,"2023-11-30","JATI"
50,51,50,50,10733700,"2023-12-01","JATI"
51,51,50,50,5156000,"2023-12-04","JATI"
50,51,50,50,4203800,"2023-12-05","JATI"
50,51,50,50,2886500,"2023-12-06","JATI"
50,50,50,50,269100,"2023-12-07","JATI"
50,50,50,50,95800,"2023-12-08","JATI"
50,50,50,50,175700,"2023-12-11","JATI"
50,50,50,50,239600,"2023-12-12","JATI"
50,50,50,50,345500,"2023-12-13","JATI"
50,50,50,50,19623400,"2023-12-14","JATI"
50,50,50,50,250700,"2023-12-15","JATI"
50,50,50,50,281700,"2023-12-18","JATI"
50,50,50,50,6200,"2023-12-19","JATI"
50,50,50,50,50300,"2023-12-20","JATI"
50,50,50,50,53600,"2023-12-21","JATI"
50,50,50,50,114000,"2023-12-22","JATI"
50,50,50,50,57900,"2023-12-27","JATI"
50,50,50,50,67900,"2023-12-28","JATI"
50,50,50,50,279000,"2023-12-29","JATI"
50,50,50,50,89900,"2024-01-02","JATI"
50,50,50,50,37000,"2024-01-03","JATI"
50,50,50,50,122500,"2024-01-04","JATI"
