"Open","High","Low","Close","Volume","Date","Emiten"
135,135,135,135,10373300,"2022-09-07","COAL"
182,182,182,182,19179700,"2022-09-08","COAL"
244,244,244,244,42632500,"2022-09-09","COAL"
300,304,286,304,104059800,"2022-09-12","COAL"
370,380,370,380,61378100,"2022-09-13","COAL"
420,474,420,470,365036000,"2022-09-14","COAL"
468,570,438,438,352776800,"2022-09-15","COAL"
430,438,408,408,12529600,"2022-09-16","COAL"
390,460,380,392,209153000,"2022-09-19","COAL"
392,424,392,412,84106500,"2022-09-20","COAL"
416,515,416,515,259884100,"2022-09-21","COAL"
600,635,520,560,484752600,"2022-09-22","COAL"
560,565,525,525,106399300,"2022-09-23","COAL"
510,535,490,490,123471700,"2022-09-26","COAL"
490,545,462,492,146546800,"2022-09-27","COAL"
494,505,458,458,114908400,"2022-09-28","COAL"
458,470,426,426,57748600,"2022-09-29","COAL"
426,448,398,440,109008500,"2022-09-30","COAL"
424,448,410,410,99110000,"2022-10-03","COAL"
410,412,382,384,148823900,"2022-10-04","COAL"
384,474,360,456,437463000,"2022-10-05","COAL"
460,482,444,454,253193400,"2022-10-06","COAL"
460,478,452,468,127130700,"2022-10-07","COAL"
470,496,436,436,185802800,"2022-10-10","COAL"
436,440,406,406,90478600,"2022-10-11","COAL"
388,410,378,378,218794800,"2022-10-12","COAL"
376,380,352,352,117028000,"2022-10-13","COAL"
352,362,328,328,109465300,"2022-10-14","COAL"
326,328,306,306,25686900,"2022-10-17","COAL"
300,310,286,286,99009500,"2022-10-18","COAL"
280,286,266,266,25060100,"2022-10-19","COAL"
248,312,248,294,304341800,"2022-10-20","COAL"
296,302,276,278,162447800,"2022-10-21","COAL"
276,286,260,260,74660900,"2022-10-24","COAL"
260,260,242,242,65099300,"2022-10-25","COAL"
228,254,226,252,140197900,"2022-10-26","COAL"
272,272,242,244,30062100,"2022-10-27","COAL"
242,250,232,234,23218600,"2022-10-28","COAL"
234,248,230,236,28889200,"2022-10-31","COAL"
236,242,224,226,29649500,"2022-11-01","COAL"
228,248,226,230,53570100,"2022-11-02","COAL"
230,234,226,230,14968700,"2022-11-03","COAL"
216,232,216,224,11994200,"2022-11-04","COAL"
224,230,216,218,33760300,"2022-11-07","COAL"
218,220,206,212,33216900,"2022-11-08","COAL"
199,212,199,204,20190400,"2022-11-09","COAL"
202,222,192,198,58209500,"2022-11-10","COAL"
200,206,198,200,12589900,"2022-11-11","COAL"
200,210,200,204,12677000,"2022-11-14","COAL"
202,234,202,222,108278400,"2022-11-15","COAL"
224,234,216,216,29593200,"2022-11-16","COAL"
220,220,204,210,16183800,"2022-11-17","COAL"
210,212,204,208,7597000,"2022-11-18","COAL"
212,212,204,206,6225000,"2022-11-21","COAL"
210,216,206,212,16477100,"2022-11-22","COAL"
212,216,202,206,12094400,"2022-11-23","COAL"
206,214,204,206,8110700,"2022-11-24","COAL"
208,208,202,204,6337200,"2022-11-25","COAL"
204,208,199,200,9668800,"2022-11-28","COAL"
200,204,196,199,8445800,"2022-11-29","COAL"
200,202,192,193,12908500,"2022-11-30","COAL"
194,197,192,194,8061500,"2022-12-01","COAL"
195,198,185,185,13510500,"2022-12-02","COAL"
185,187,173,173,21124000,"2022-12-05","COAL"
169,171,161,167,20976900,"2022-12-06","COAL"
161,200,156,156,171084400,"2022-12-07","COAL"
155,155,146,147,33253600,"2022-12-08","COAL"
142,164,140,157,56957600,"2022-12-09","COAL"
158,168,158,166,39886600,"2022-12-12","COAL"
166,168,158,161,15827800,"2022-12-13","COAL"
163,168,158,159,13216000,"2022-12-14","COAL"
159,162,153,159,8381400,"2022-12-15","COAL"
158,160,153,157,4721200,"2022-12-16","COAL"
154,167,153,165,20481400,"2022-12-19","COAL"
165,172,161,161,26085100,"2022-12-20","COAL"
156,162,155,156,8876500,"2022-12-21","COAL"
156,160,155,155,7579700,"2022-12-22","COAL"
160,160,153,154,5716100,"2022-12-23","COAL"
154,157,149,150,5039400,"2022-12-26","COAL"
146,153,146,149,5947500,"2022-12-27","COAL"
149,151,146,147,3717600,"2022-12-28","COAL"
147,149,146,149,3781700,"2022-12-29","COAL"
149,150,146,146,4288100,"2022-12-30","COAL"
145,148,140,143,9334600,"2023-01-02","COAL"
135,147,135,142,5176700,"2023-01-03","COAL"
143,146,135,135,7434900,"2023-01-04","COAL"
135,138,126,126,18970300,"2023-01-05","COAL"
118,126,118,120,11675200,"2023-01-06","COAL"
121,123,115,116,5484800,"2023-01-09","COAL"
116,125,109,120,21646500,"2023-01-10","COAL"
120,130,120,122,18459300,"2023-01-11","COAL"
123,124,119,119,6102600,"2023-01-12","COAL"
119,123,117,117,4386100,"2023-01-13","COAL"
119,120,116,119,5118200,"2023-01-16","COAL"
119,121,116,118,6094800,"2023-01-17","COAL"
120,124,116,117,13246700,"2023-01-18","COAL"
118,119,116,117,3345300,"2023-01-19","COAL"
116,131,116,126,47670900,"2023-01-20","COAL"
126,128,118,119,16134600,"2023-01-24","COAL"
119,120,116,118,7691100,"2023-01-25","COAL"
120,120,115,117,8160200,"2023-01-26","COAL"
117,126,116,118,19717100,"2023-01-27","COAL"
118,126,116,118,27572100,"2023-01-30","COAL"
118,120,116,117,7099300,"2023-01-31","COAL"
115,118,115,118,5184200,"2023-02-01","COAL"
118,119,113,115,15131900,"2023-02-02","COAL"
115,119,112,116,14068800,"2023-02-03","COAL"
117,123,115,121,37968500,"2023-02-06","COAL"
122,139,121,132,124311000,"2023-02-07","COAL"
