"Open","High","Low","Close","Volume","Date","Emiten"
262,262,262,262,76419000,"2021-10-25","KUAS"
300,300,244,250,458605800,"2021-10-26","KUAS"
250,256,234,250,97477400,"2021-10-27","KUAS"
248,254,234,234,14509700,"2021-10-28","KUAS"
234,238,218,218,16210000,"2021-10-29","KUAS"
208,224,204,204,27560900,"2021-11-01","KUAS"
190,216,190,192,74375700,"2021-11-02","KUAS"
192,199,192,196,36364900,"2021-11-03","KUAS"
196,212,195,212,64288500,"2021-11-04","KUAS"
212,256,204,242,141866700,"2021-11-05","KUAS"
240,254,228,242,35247000,"2021-11-08","KUAS"
242,252,226,244,46056300,"2021-11-09","KUAS"
244,244,228,230,40642000,"2021-11-10","KUAS"
230,230,220,226,4573100,"2021-11-11","KUAS"
226,232,218,226,24437800,"2021-11-12","KUAS"
224,226,216,216,3553600,"2021-11-15","KUAS"
216,238,208,222,32524800,"2021-11-16","KUAS"
222,222,214,216,2169600,"2021-11-17","KUAS"
216,232,210,224,13781200,"2021-11-18","KUAS"
224,232,216,232,10413700,"2021-11-19","KUAS"
232,238,226,230,12454800,"2021-11-22","KUAS"
230,238,226,238,9770600,"2021-11-23","KUAS"
238,248,230,238,8636200,"2021-11-24","KUAS"
238,240,226,236,16082100,"2021-11-25","KUAS"
236,238,220,236,55181000,"2021-11-26","KUAS"
236,236,220,226,285450800,"2021-11-29","KUAS"
226,242,216,242,53697300,"2021-11-30","KUAS"
244,248,226,236,23577000,"2021-12-01","KUAS"
236,238,222,222,467645000,"2021-12-02","KUAS"
222,230,208,208,1923192500,"2021-12-03","KUAS"
208,212,200,200,66123000,"2021-12-06","KUAS"
200,212,186,186,1319011400,"2021-12-07","KUAS"
188,191,173,173,1248198200,"2021-12-08","KUAS"
173,174,161,161,223749000,"2021-12-09","KUAS"
158,158,150,150,12831500,"2021-12-10","KUAS"
140,143,140,140,27433000,"2021-12-13","KUAS"
139,142,131,131,47131200,"2021-12-14","KUAS"
136,136,122,123,39385100,"2021-12-15","KUAS"
122,124,116,118,10618900,"2021-12-16","KUAS"
118,124,113,117,8739100,"2021-12-17","KUAS"
113,121,113,114,8020700,"2021-12-20","KUAS"
107,115,107,107,26537800,"2021-12-21","KUAS"
106,109,102,103,63868000,"2021-12-22","KUAS"
97,117,96,96,121455500,"2021-12-23","KUAS"
95,99,90,90,248641700,"2021-12-24","KUAS"
90,93,84,84,99564200,"2021-12-27","KUAS"
79,85,79,79,47494700,"2021-12-28","KUAS"
74,79,74,74,38168800,"2021-12-29","KUAS"
70,77,69,72,70310400,"2021-12-30","KUAS"
69,76,69,73,31170700,"2022-01-03","KUAS"
73,95,73,92,665343500,"2022-01-04","KUAS"
92,94,86,86,76514200,"2022-01-05","KUAS"
83,84,80,81,41587300,"2022-01-06","KUAS"
81,94,81,88,180166500,"2022-01-07","KUAS"
89,90,82,82,44551900,"2022-01-10","KUAS"
82,83,77,77,28006800,"2022-01-11","KUAS"
77,91,77,82,173656200,"2022-01-12","KUAS"
83,89,80,81,45479500,"2022-01-13","KUAS"
81,85,81,84,12050400,"2022-01-14","KUAS"
85,89,81,84,29299500,"2022-01-17","KUAS"
85,91,84,87,84907100,"2022-01-18","KUAS"
87,89,85,87,26607100,"2022-01-19","KUAS"
87,88,85,85,14901700,"2022-01-20","KUAS"
85,85,80,81,37195800,"2022-01-21","KUAS"
81,81,77,78,16974200,"2022-01-24","KUAS"
79,86,77,80,78220000,"2022-01-25","KUAS"
80,81,77,78,14690600,"2022-01-26","KUAS"
78,82,77,79,18166400,"2022-01-27","KUAS"
80,80,77,78,11616700,"2022-01-28","KUAS"
79,79,76,77,9479100,"2022-01-31","KUAS"
77,78,74,75,15208400,"2022-02-02","KUAS"
75,79,74,76,29568400,"2022-02-03","KUAS"
