"Open","High","Low","Close","Volume","Date","Emiten"
124,150,120,125,545672700,"2023-11-08","RGAS"
117,125,97,97,198749200,"2023-11-09","RGAS"
95,105,91,98,105321500,"2023-11-10","RGAS"
98,107,96,105,51623800,"2023-11-13","RGAS"
110,114,106,110,148478200,"2023-11-14","RGAS"
110,111,103,104,43299600,"2023-11-15","RGAS"
104,108,99,99,33797300,"2023-11-16","RGAS"
99,103,95,96,29872200,"2023-11-17","RGAS"
88,102,88,99,45990600,"2023-11-20","RGAS"
99,101,96,100,25112900,"2023-11-21","RGAS"
99,109,99,106,69869400,"2023-11-22","RGAS"
107,107,102,102,21028300,"2023-11-23","RGAS"
102,104,96,99,19696200,"2023-11-24","RGAS"
90,100,90,97,16095900,"2023-11-27","RGAS"
97,99,96,97,9278000,"2023-11-28","RGAS"
97,99,96,96,8569300,"2023-11-29","RGAS"
97,106,93,103,54660000,"2023-11-30","RGAS"
105,105,101,103,12171100,"2023-12-01","RGAS"
98,105,98,104,30319300,"2023-12-04","RGAS"
104,105,100,104,15320800,"2023-12-05","RGAS"
104,104,102,103,11515500,"2023-12-06","RGAS"
103,104,100,104,19481100,"2023-12-07","RGAS"
104,108,101,101,20906600,"2023-12-08","RGAS"
101,102,98,98,15099300,"2023-12-11","RGAS"
98,102,97,100,8456000,"2023-12-12","RGAS"
99,103,99,102,8259500,"2023-12-13","RGAS"
102,103,100,100,6289000,"2023-12-14","RGAS"
100,102,99,100,2399500,"2023-12-15","RGAS"
100,101,98,99,5257200,"2023-12-18","RGAS"
99,100,95,98,17880100,"2023-12-19","RGAS"
98,100,96,97,5540500,"2023-12-20","RGAS"
97,99,96,97,2730800,"2023-12-21","RGAS"
97,97,92,93,8871700,"2023-12-22","RGAS"
83,96,83,90,6871200,"2023-12-27","RGAS"
90,92,88,88,5315000,"2023-12-28","RGAS"
91,92,88,92,5900500,"2023-12-29","RGAS"
90,92,90,90,2212300,"2024-01-02","RGAS"
74,92,74,89,1616500,"2024-01-03","RGAS"
89,107,89,102,48086600,"2024-01-04","RGAS"
105,105,93,97,10844000,"2024-01-05","RGAS"
98,101,92,101,14725800,"2024-01-08","RGAS"
101,102,97,102,9807300,"2024-01-09","RGAS"
108,108,100,102,10283300,"2024-01-10","RGAS"
109,109,99,103,11338100,"2024-01-11","RGAS"
103,103,98,99,4385400,"2024-01-12","RGAS"
99,99,99,99,0,"2024-01-15","RGAS"
97,106,97,102,20938100,"2024-01-16","RGAS"
103,106,100,100,19562700,"2024-01-17","RGAS"
103,103,98,100,10130000,"2024-01-18","RGAS"
101,106,98,99,29179400,"2024-01-19","RGAS"
99,109,96,108,57194500,"2024-01-22","RGAS"
109,109,102,106,17546500,"2024-01-23","RGAS"
106,106,102,103,10675400,"2024-01-24","RGAS"
103,118,101,114,143144400,"2024-01-25","RGAS"
114,115,104,105,28552900,"2024-01-26","RGAS"
105,113,102,107,20408500,"2024-01-29","RGAS"
108,117,106,117,66093200,"2024-01-30","RGAS"
118,119,112,119,55638900,"2024-01-31","RGAS"
117,123,114,117,42737400,"2024-02-01","RGAS"
118,118,113,113,10201600,"2024-02-02","RGAS"
