"Open","High","Low","Close","Volume","Date","Emiten"
1080,1125,840,890,63667800,"2022-11-08","PRAY"
890,900,845,845,9165200,"2022-11-09","PRAY"
820,835,790,790,14565900,"2022-11-10","PRAY"
785,785,735,735,13403500,"2022-11-11","PRAY"
730,795,685,755,16663400,"2022-11-14","PRAY"
760,800,755,765,6439400,"2022-11-15","PRAY"
770,775,735,755,2330400,"2022-11-16","PRAY"
755,755,715,715,3606000,"2022-11-17","PRAY"
715,755,715,740,2274400,"2022-11-18","PRAY"
740,795,740,795,7220200,"2022-11-21","PRAY"
840,840,795,820,5360300,"2022-11-22","PRAY"
825,830,790,805,2387100,"2022-11-23","PRAY"
805,820,795,805,1124400,"2022-11-24","PRAY"
805,805,785,795,1840000,"2022-11-25","PRAY"
795,800,770,780,1743400,"2022-11-28","PRAY"
775,785,775,780,777100,"2022-11-29","PRAY"
780,785,770,780,1788300,"2022-11-30","PRAY"
780,805,770,780,3667600,"2022-12-01","PRAY"
780,790,775,780,1025800,"2022-12-02","PRAY"
780,790,745,775,1505700,"2022-12-05","PRAY"
775,775,755,770,952400,"2022-12-06","PRAY"
770,770,735,740,921300,"2022-12-07","PRAY"
735,775,715,770,795600,"2022-12-08","PRAY"
770,770,750,760,213400,"2022-12-09","PRAY"
760,760,740,750,303300,"2022-12-12","PRAY"
750,750,730,735,426400,"2022-12-13","PRAY"
735,745,700,730,592500,"2022-12-14","PRAY"
730,735,715,730,437000,"2022-12-15","PRAY"
735,735,720,730,225200,"2022-12-16","PRAY"
730,770,720,750,399300,"2022-12-19","PRAY"
745,760,730,760,585500,"2022-12-20","PRAY"
760,770,745,770,398700,"2022-12-21","PRAY"
770,795,750,770,800500,"2022-12-22","PRAY"
770,785,740,780,958300,"2022-12-23","PRAY"
780,795,755,780,528000,"2022-12-26","PRAY"
780,790,760,790,1728300,"2022-12-27","PRAY"
790,800,780,790,1072600,"2022-12-28","PRAY"
790,795,765,790,710500,"2022-12-29","PRAY"
790,795,780,790,937600,"2022-12-30","PRAY"
795,795,770,770,383700,"2023-01-02","PRAY"
770,770,745,755,717100,"2023-01-03","PRAY"
755,765,745,745,290500,"2023-01-04","PRAY"
745,755,700,750,1207100,"2023-01-05","PRAY"
750,760,735,740,220600,"2023-01-06","PRAY"
740,750,725,730,531600,"2023-01-09","PRAY"
735,745,725,730,246500,"2023-01-10","PRAY"
725,735,720,725,106700,"2023-01-11","PRAY"
725,730,720,720,105000,"2023-01-12","PRAY"
720,730,700,715,263100,"2023-01-13","PRAY"
715,725,715,715,120900,"2023-01-16","PRAY"
720,725,710,725,269100,"2023-01-17","PRAY"
720,735,715,715,174700,"2023-01-18","PRAY"
715,720,710,720,148300,"2023-01-19","PRAY"
720,725,710,715,280600,"2023-01-20","PRAY"
715,765,710,750,1759700,"2023-01-24","PRAY"
760,760,730,750,128500,"2023-01-25","PRAY"
750,780,720,780,1716000,"2023-01-26","PRAY"
780,820,765,820,2553100,"2023-01-27","PRAY"
790,840,790,830,2846600,"2023-01-30","PRAY"
835,890,815,880,4986700,"2023-01-31","PRAY"
885,890,835,840,2231800,"2023-02-01","PRAY"
845,865,805,805,1654200,"2023-02-02","PRAY"
790,805,765,765,1210400,"2023-02-03","PRAY"
765,780,725,760,969800,"2023-02-06","PRAY"
750,775,740,770,360100,"2023-02-07","PRAY"
770,770,750,755,268400,"2023-02-08","PRAY"
755,755,735,740,400900,"2023-02-09","PRAY"
735,755,725,735,290400,"2023-02-10","PRAY"
735,745,730,740,100100,"2023-02-13","PRAY"
740,745,735,740,112300,"2023-02-14","PRAY"
740,755,735,755,106100,"2023-02-15","PRAY"
760,770,745,750,87200,"2023-02-16","PRAY"
750,760,745,750,365800,"2023-02-17","PRAY"
750,755,740,750,177600,"2023-02-20","PRAY"
755,770,750,750,252400,"2023-02-21","PRAY"
750,765,745,750,255100,"2023-02-22","PRAY"
750,755,740,750,84600,"2023-02-23","PRAY"
750,770,735,770,654300,"2023-02-24","PRAY"
770,785,745,750,651300,"2023-02-27","PRAY"
770,830,755,800,3105000,"2023-02-28","PRAY"
800,815,765,815,1506000,"2023-03-01","PRAY"
815,825,780,820,1253300,"2023-03-02","PRAY"
820,860,800,855,2429000,"2023-03-03","PRAY"
855,865,800,800,940000,"2023-03-06","PRAY"
785,840,770,815,925300,"2023-03-07","PRAY"
815,830,790,825,475400,"2023-03-08","PRAY"
825,840,810,810,347400,"2023-03-09","PRAY"
805,825,800,800,202900,"2023-03-10","PRAY"
800,835,795,800,462100,"2023-03-13","PRAY"
800,805,760,760,403200,"2023-03-14","PRAY"
750,785,750,770,308400,"2023-03-15","PRAY"
770,775,745,770,252900,"2023-03-16","PRAY"
770,805,770,775,371800,"2023-03-17","PRAY"
775,775,755,765,230500,"2023-03-20","PRAY"
765,780,755,770,197600,"2023-03-21","PRAY"
765,770,750,755,318900,"2023-03-24","PRAY"
755,770,750,760,130500,"2023-03-27","PRAY"
760,780,755,765,138700,"2023-03-28","PRAY"
765,780,765,780,172300,"2023-03-29","PRAY"
780,790,770,790,134200,"2023-03-30","PRAY"
795,795,775,780,308500,"2023-03-31","PRAY"
785,785,760,775,141700,"2023-04-03","PRAY"
760,780,750,770,189100,"2023-04-04","PRAY"
770,780,755,760,96300,"2023-04-05","PRAY"
775,775,745,750,206200,"2023-04-06","PRAY"
750,750,715,715,666500,"2023-04-10","PRAY"
715,745,700,740,263400,"2023-04-11","PRAY"
740,745,725,740,116900,"2023-04-12","PRAY"
740,760,725,760,388100,"2023-04-13","PRAY"
760,760,740,745,60900,"2023-04-14","PRAY"
745,750,725,745,195800,"2023-04-17","PRAY"
750,755,730,745,158100,"2023-04-18","PRAY"
745,755,730,745,55300,"2023-04-26","PRAY"
735,790,720,780,777200,"2023-04-27","PRAY"
775,775,750,755,67400,"2023-04-28","PRAY"
745,750,735,745,62900,"2023-05-02","PRAY"
745,750,735,740,48500,"2023-05-03","PRAY"
735,755,735,740,107400,"2023-05-04","PRAY"
745,750,730,730,200700,"2023-05-05","PRAY"
