"Open","High","Low","Close","Volume","Date","Emiten"
254,256,230,256,141452200,"2022-12-06","MMIX"
284,316,240,240,156921400,"2022-12-07","MMIX"
224,224,224,224,8425300,"2022-12-08","MMIX"
210,248,210,236,155091700,"2022-12-09","MMIX"
238,250,236,242,31229800,"2022-12-12","MMIX"
248,248,230,238,20774500,"2022-12-13","MMIX"
238,258,236,256,59767800,"2022-12-14","MMIX"
256,282,252,258,177380000,"2022-12-15","MMIX"
258,272,258,270,33162000,"2022-12-16","MMIX"
272,286,268,284,41114300,"2022-12-19","MMIX"
286,304,278,296,50593900,"2022-12-20","MMIX"
298,310,288,302,30187900,"2022-12-21","MMIX"
302,322,302,322,45556200,"2022-12-22","MMIX"
302,374,302,364,72028900,"2022-12-23","MMIX"
380,380,340,340,21274300,"2022-12-26","MMIX"
322,358,318,330,50410800,"2022-12-27","MMIX"
332,346,318,336,37706600,"2022-12-28","MMIX"
336,358,332,356,34144100,"2022-12-29","MMIX"
352,386,352,364,47132200,"2022-12-30","MMIX"
370,374,340,340,25419200,"2023-01-02","MMIX"
336,342,318,328,29168400,"2023-01-03","MMIX"
328,342,324,342,16835400,"2023-01-04","MMIX"
346,348,320,324,24592700,"2023-01-05","MMIX"
326,334,310,318,21839700,"2023-01-06","MMIX"
318,326,296,320,31391100,"2023-01-09","MMIX"
324,330,316,326,14838800,"2023-01-10","MMIX"
326,346,324,340,32209200,"2023-01-11","MMIX"
342,354,338,352,28216600,"2023-01-12","MMIX"
352,364,348,364,29718300,"2023-01-13","MMIX"
364,370,358,358,21851900,"2023-01-16","MMIX"
388,388,348,352,28987900,"2023-01-17","MMIX"
350,358,328,358,28185000,"2023-01-18","MMIX"
360,386,358,384,25327300,"2023-01-19","MMIX"
474,474,384,408,25987600,"2023-01-20","MMIX"
408,444,398,444,26233600,"2023-01-24","MMIX"
530,530,444,474,40055500,"2023-01-25","MMIX"
478,496,462,494,24517000,"2023-01-26","MMIX"
498,505,480,486,23056200,"2023-01-27","MMIX"
488,498,484,494,11894900,"2023-01-30","MMIX"
494,575,486,550,24450200,"2023-01-31","MMIX"
550,595,550,590,14855600,"2023-02-01","MMIX"
595,605,550,550,12529700,"2023-02-02","MMIX"
550,565,515,560,12082200,"2023-02-03","MMIX"
565,590,555,560,8070600,"2023-02-06","MMIX"
565,570,550,555,6448600,"2023-02-07","MMIX"
555,590,530,565,14284100,"2023-02-08","MMIX"
565,580,555,565,5576100,"2023-02-09","MMIX"
570,575,540,560,6321500,"2023-02-10","MMIX"
560,565,550,550,1667700,"2023-02-13","MMIX"
545,560,530,530,8231500,"2023-02-14","MMIX"
525,565,520,560,13265600,"2023-02-15","MMIX"
580,620,560,600,38554400,"2023-02-16","MMIX"
600,615,590,610,30289300,"2023-02-17","MMIX"
610,620,575,600,12693700,"2023-02-20","MMIX"
600,635,600,630,23582600,"2023-02-21","MMIX"
635,640,620,625,9937300,"2023-02-22","MMIX"
625,625,585,600,22897500,"2023-02-23","MMIX"
615,615,590,600,6749700,"2023-02-24","MMIX"
600,600,585,595,3741300,"2023-02-27","MMIX"
590,605,580,600,13040700,"2023-02-28","MMIX"
600,615,585,595,4204500,"2023-03-01","MMIX"
595,600,565,590,6086100,"2023-03-02","MMIX"
590,590,570,570,3700400,"2023-03-03","MMIX"
570,595,550,580,5570400,"2023-03-06","MMIX"
580,585,560,560,6366400,"2023-03-07","MMIX"
555,615,530,590,17115200,"2023-03-08","MMIX"
595,595,585,595,6572500,"2023-03-09","MMIX"
595,605,590,600,5062000,"2023-03-10","MMIX"
605,710,590,680,40646100,"2023-03-13","MMIX"
675,700,655,680,12401600,"2023-03-14","MMIX"
680,685,650,650,7807400,"2023-03-15","MMIX"
645,685,645,645,7884300,"2023-03-16","MMIX"
645,645,630,630,9569700,"2023-03-17","MMIX"
625,640,610,635,6808900,"2023-03-20","MMIX"
640,650,595,595,8628900,"2023-03-21","MMIX"
590,595,555,555,8611800,"2023-03-24","MMIX"
555,555,520,520,11743200,"2023-03-27","MMIX"
515,520,484,490,16558500,"2023-03-28","MMIX"
484,515,484,500,12326400,"2023-03-29","MMIX"
500,515,466,510,18539300,"2023-03-30","MMIX"
510,530,494,515,8750200,"2023-03-31","MMIX"
520,525,500,515,7435600,"2023-04-03","MMIX"
515,520,500,505,2476700,"2023-04-04","MMIX"
500,505,472,474,9035000,"2023-04-05","MMIX"
