"Open","High","Low","Close","Volume","Date","Emiten"
320,320,290,320,922992200,"2022-01-25","ASLC"
330,350,298,298,402828100,"2022-01-26","ASLC"
278,308,278,302,256881600,"2022-01-27","ASLC"
302,308,292,298,79465700,"2022-01-28","ASLC"
298,302,284,288,89356000,"2022-01-31","ASLC"
292,306,284,304,92766200,"2022-02-02","ASLC"
304,308,296,298,28448000,"2022-02-03","ASLC"
298,300,290,296,19120700,"2022-02-04","ASLC"
298,302,292,292,28391200,"2022-02-07","ASLC"
294,296,282,286,41175400,"2022-02-08","ASLC"
286,292,280,282,21361400,"2022-02-09","ASLC"
282,284,264,272,66097300,"2022-02-10","ASLC"
272,278,264,272,15467800,"2022-02-11","ASLC"
272,272,260,264,26024900,"2022-02-14","ASLC"
264,278,262,270,26986100,"2022-02-15","ASLC"
272,292,272,278,49914500,"2022-02-16","ASLC"
278,280,266,268,34094700,"2022-02-17","ASLC"
266,272,262,266,12144400,"2022-02-18","ASLC"
266,274,264,266,12029100,"2022-02-21","ASLC"
262,268,258,258,42181000,"2022-02-22","ASLC"
258,264,256,260,22939900,"2022-02-23","ASLC"
260,268,252,260,48494400,"2022-02-24","ASLC"
260,272,258,266,31527300,"2022-02-25","ASLC"
266,270,262,268,15186200,"2022-03-01","ASLC"
268,270,260,260,16496800,"2022-03-02","ASLC"
260,262,254,256,43017200,"2022-03-04","ASLC"
258,258,240,250,62005400,"2022-03-07","ASLC"
252,254,238,240,30773700,"2022-03-08","ASLC"
242,256,242,250,15512200,"2022-03-09","ASLC"
252,256,248,248,5219700,"2022-03-10","ASLC"
248,252,246,246,7925200,"2022-03-11","ASLC"
246,246,246,246,0,"2022-03-14","ASLC"
256,258,248,250,7812700,"2022-03-15","ASLC"
252,254,246,248,5120500,"2022-03-16","ASLC"
248,274,248,260,46949100,"2022-03-17","ASLC"
260,268,256,260,15687100,"2022-03-18","ASLC"
260,266,256,256,10978400,"2022-03-21","ASLC"
262,262,254,258,6743500,"2022-03-22","ASLC"
262,282,254,276,48646000,"2022-03-23","ASLC"
276,278,268,270,22566800,"2022-03-24","ASLC"
274,276,264,270,20744000,"2022-03-25","ASLC"
272,274,262,262,17507100,"2022-03-28","ASLC"
264,266,258,260,6301600,"2022-03-29","ASLC"
260,264,256,258,22491700,"2022-03-30","ASLC"
258,268,258,260,23688700,"2022-03-31","ASLC"
260,266,256,256,15202600,"2022-04-01","ASLC"
258,260,246,248,38705300,"2022-04-04","ASLC"
250,252,234,236,44290200,"2022-04-05","ASLC"
236,244,224,240,51590500,"2022-04-06","ASLC"
240,248,234,234,39103900,"2022-04-07","ASLC"
234,238,226,226,35547700,"2022-04-08","ASLC"
232,232,212,212,45706400,"2022-04-11","ASLC"
212,218,198,202,64033300,"2022-04-12","ASLC"
204,212,200,208,57124500,"2022-04-13","ASLC"
210,238,204,216,109669400,"2022-04-14","ASLC"
220,270,216,270,396171700,"2022-04-18","ASLC"
270,296,262,276,333543600,"2022-04-19","ASLC"
278,288,268,278,150003800,"2022-04-20","ASLC"
280,290,262,264,140276700,"2022-04-21","ASLC"
262,270,252,254,81118700,"2022-04-22","ASLC"
254,262,238,248,73175600,"2022-04-25","ASLC"
250,258,232,232,123434500,"2022-04-26","ASLC"
226,234,218,220,64116200,"2022-04-27","ASLC"
220,246,220,234,83378300,"2022-04-28","ASLC"
236,236,218,218,53767900,"2022-05-09","ASLC"
216,218,204,204,70194000,"2022-05-10","ASLC"
204,208,200,204,55251300,"2022-05-11","ASLC"
206,206,190,190,45732700,"2022-05-12","ASLC"
190,204,177,204,78019000,"2022-05-13","ASLC"
202,210,198,198,58194000,"2022-05-17","ASLC"
198,206,198,202,48716400,"2022-05-18","ASLC"
204,204,190,196,60362500,"2022-05-19","ASLC"
197,202,195,198,45472800,"2022-05-20","ASLC"
200,214,197,199,72939600,"2022-05-23","ASLC"
200,202,193,193,41440300,"2022-05-24","ASLC"
193,196,185,187,33457700,"2022-05-25","ASLC"
188,204,188,200,76465000,"2022-05-27","ASLC"
202,204,196,198,47469700,"2022-05-30","ASLC"
200,202,193,195,45843000,"2022-05-31","ASLC"
195,197,188,188,46443900,"2022-06-02","ASLC"
188,192,185,186,41279900,"2022-06-03","ASLC"
187,189,180,180,47634300,"2022-06-06","ASLC"
182,184,180,184,36411500,"2022-06-07","ASLC"
185,195,185,190,51956100,"2022-06-08","ASLC"
192,197,186,189,59760200,"2022-06-09","ASLC"
190,190,178,179,49852200,"2022-06-10","ASLC"
177,177,167,167,38523000,"2022-06-13","ASLC"
167,167,158,160,40001000,"2022-06-14","ASLC"
160,164,150,150,52951300,"2022-06-15","ASLC"
151,181,151,155,204178200,"2022-06-16","ASLC"
150,162,150,155,62856800,"2022-06-17","ASLC"
156,156,145,150,70069700,"2022-06-20","ASLC"
151,162,149,157,54765300,"2022-06-21","ASLC"
157,167,151,152,74420300,"2022-06-22","ASLC"
153,162,153,157,60836200,"2022-06-23","ASLC"
158,176,157,165,148850800,"2022-06-24","ASLC"
167,169,156,156,71538800,"2022-06-27","ASLC"
156,161,151,154,52923000,"2022-06-28","ASLC"
154,158,151,152,38496100,"2022-06-29","ASLC"
153,156,142,142,74934000,"2022-06-30","ASLC"
143,143,133,133,44265400,"2022-07-01","ASLC"
134,134,124,128,66255500,"2022-07-04","ASLC"
130,138,130,135,67450000,"2022-07-05","ASLC"
137,144,135,139,97882400,"2022-07-06","ASLC"
144,145,138,138,45332500,"2022-07-07","ASLC"
139,146,139,141,79021500,"2022-07-08","ASLC"
144,144,137,139,44436200,"2022-07-11","ASLC"
139,142,136,138,38569700,"2022-07-12","ASLC"
138,150,136,136,71302100,"2022-07-13","ASLC"
137,145,134,145,59575000,"2022-07-14","ASLC"
146,159,139,152,104777600,"2022-07-15","ASLC"
153,157,142,147,69629700,"2022-07-18","ASLC"
147,155,142,155,108384400,"2022-07-19","ASLC"
156,171,153,165,183641000,"2022-07-20","ASLC"
166,166,162,163,50723000,"2022-07-21","ASLC"
164,187,162,180,203830300,"2022-07-22","ASLC"
185,185,168,178,143172300,"2022-07-25","ASLC"
178,199,176,198,207065100,"2022-07-26","ASLC"
199,208,189,192,144380400,"2022-07-27","ASLC"
197,197,185,192,82844400,"2022-07-28","ASLC"
194,195,185,185,61818300,"2022-07-29","ASLC"
184,197,182,190,79768700,"2022-08-01","ASLC"
190,192,177,178,102863100,"2022-08-02","ASLC"
180,189,178,180,69696800,"2022-08-03","ASLC"
182,190,178,185,83635100,"2022-08-04","ASLC"
187,206,185,186,237662900,"2022-08-05","ASLC"
187,189,180,182,81977400,"2022-08-08","ASLC"
180,183,174,177,120382100,"2022-08-09","ASLC"
179,189,175,188,99201200,"2022-08-10","ASLC"
191,212,189,206,250845900,"2022-08-11","ASLC"
210,224,206,220,200614100,"2022-08-12","ASLC"
224,224,214,216,101051100,"2022-08-15","ASLC"
218,220,204,208,150571400,"2022-08-16","ASLC"
210,222,204,216,126324800,"2022-08-18","ASLC"
218,220,208,210,81157300,"2022-08-19","ASLC"
216,216,196,196,149262300,"2022-08-22","ASLC"
193,200,184,198,85128100,"2022-08-23","ASLC"
198,214,197,212,142233100,"2022-08-24","ASLC"
214,216,200,204,91930100,"2022-08-25","ASLC"
204,206,200,200,44469100,"2022-08-26","ASLC"
200,200,189,192,62324300,"2022-08-29","ASLC"
192,196,186,192,64941700,"2022-08-30","ASLC"
191,194,187,188,49381700,"2022-08-31","ASLC"
185,198,185,191,76802100,"2022-09-01","ASLC"
195,196,187,190,59906400,"2022-09-02","ASLC"
190,191,180,180,73771900,"2022-09-05","ASLC"
180,193,176,187,115805300,"2022-09-06","ASLC"
188,189,179,181,50393400,"2022-09-07","ASLC"
181,185,181,181,40567500,"2022-09-08","ASLC"
182,183,178,178,30747600,"2022-09-09","ASLC"
178,182,176,176,31577600,"2022-09-12","ASLC"
178,184,175,184,34475500,"2022-09-13","ASLC"
183,183,176,178,31939500,"2022-09-14","ASLC"
179,182,178,182,31270700,"2022-09-15","ASLC"
182,185,177,180,30931700,"2022-09-16","ASLC"
180,182,168,168,76812700,"2022-09-19","ASLC"
168,168,158,163,39430500,"2022-09-20","ASLC"
163,166,158,158,19687100,"2022-09-21","ASLC"
