"Open","High","Low","Close","Volume","Date","Emiten"
312,312,312,312,20200,"2020-08-31","PNGO"
390,390,390,390,37100,"2020-09-01","PNGO"
450,486,450,486,112100,"2020-09-02","PNGO"
500,605,500,570,4596900,"2020-09-03","PNGO"
575,580,535,540,801700,"2020-09-04","PNGO"
540,540,505,510,1052000,"2020-09-07","PNGO"
510,510,476,484,373400,"2020-09-08","PNGO"
500,530,476,482,129700,"2020-09-09","PNGO"
500,500,454,458,618800,"2020-09-10","PNGO"
444,520,444,494,34700,"2020-09-11","PNGO"
500,530,480,515,40700,"2020-09-14","PNGO"
565,565,500,510,76700,"2020-09-15","PNGO"
560,560,500,535,46100,"2020-09-16","PNGO"
550,570,545,565,214500,"2020-09-17","PNGO"
575,575,550,570,115900,"2020-09-18","PNGO"
620,620,570,595,104900,"2020-09-21","PNGO"
645,645,560,595,89700,"2020-09-22","PNGO"
645,645,565,565,71400,"2020-09-23","PNGO"
600,600,545,575,85900,"2020-09-24","PNGO"
600,600,540,545,122200,"2020-09-25","PNGO"
595,595,540,540,191000,"2020-09-28","PNGO"
580,580,545,545,75300,"2020-09-29","PNGO"
595,595,540,555,11300,"2020-09-30","PNGO"
570,575,540,575,54900,"2020-10-01","PNGO"
585,585,540,545,28300,"2020-10-02","PNGO"
595,595,540,575,75400,"2020-10-05","PNGO"
585,585,540,565,39100,"2020-10-06","PNGO"
590,590,545,570,172700,"2020-10-07","PNGO"
600,600,585,585,2500,"2020-10-08","PNGO"
610,610,580,610,303500,"2020-10-09","PNGO"
660,660,570,610,3100,"2020-10-12","PNGO"
620,620,570,610,10600,"2020-10-13","PNGO"
640,640,570,600,6500,"2020-10-14","PNGO"
610,610,570,600,21800,"2020-10-15","PNGO"
640,640,580,605,3700,"2020-10-16","PNGO"
655,655,565,610,46700,"2020-10-19","PNGO"
635,635,600,610,5600,"2020-10-20","PNGO"
660,660,575,610,3200,"2020-10-21","PNGO"
640,640,575,610,16600,"2020-10-22","PNGO"
630,630,575,610,2500,"2020-10-23","PNGO"
635,635,580,580,700,"2020-10-26","PNGO"
630,630,575,610,12200,"2020-10-27","PNGO"
660,660,575,595,63300,"2020-11-02","PNGO"
610,610,575,590,64100,"2020-11-03","PNGO"
640,640,580,605,3400,"2020-11-04","PNGO"
610,610,575,605,14900,"2020-11-05","PNGO"
630,630,605,605,4300,"2020-11-06","PNGO"
625,625,575,615,4800,"2020-11-09","PNGO"
635,635,585,585,20800,"2020-11-10","PNGO"
635,635,575,625,14700,"2020-11-11","PNGO"
635,635,585,615,10000,"2020-11-12","PNGO"
630,630,585,600,1200,"2020-11-13","PNGO"
650,650,600,600,10700,"2020-11-16","PNGO"
650,650,575,600,1203800,"2020-11-17","PNGO"
650,650,590,595,71800,"2020-11-18","PNGO"
645,645,560,610,11400,"2020-11-19","PNGO"
630,630,605,605,1600,"2020-11-20","PNGO"
655,655,600,600,24500,"2020-11-23","PNGO"
650,650,600,615,20500,"2020-11-24","PNGO"
610,610,600,600,27000,"2020-11-25","PNGO"
625,625,560,590,9600,"2020-11-26","PNGO"
640,640,550,595,4700,"2020-11-27","PNGO"
625,625,595,610,2200,"2020-11-30","PNGO"
660,660,570,570,600,"2020-12-01","PNGO"
620,620,570,620,4400,"2020-12-02","PNGO"
670,670,580,580,3300,"2020-12-03","PNGO"
630,630,570,600,19300,"2020-12-04","PNGO"
