"Open","High","Low","Close","Volume","Date","Emiten"
102,139,102,118,495131000,"2023-08-08","GRIA"
120,128,115,121,82948000,"2023-08-09","GRIA"
121,124,116,118,30685200,"2023-08-10","GRIA"
118,119,115,116,10721300,"2023-08-11","GRIA"
116,124,114,118,129867900,"2023-08-14","GRIA"
118,119,115,115,14656800,"2023-08-15","GRIA"
115,120,111,120,53259300,"2023-08-16","GRIA"
121,145,120,126,194774200,"2023-08-18","GRIA"
132,132,120,121,29372400,"2023-08-21","GRIA"
121,126,120,121,15550600,"2023-08-22","GRIA"
122,124,119,121,49740900,"2023-08-23","GRIA"
122,122,119,121,8489500,"2023-08-24","GRIA"
121,121,117,118,8062900,"2023-08-25","GRIA"
118,121,116,118,19204700,"2023-08-28","GRIA"
118,118,113,114,10335200,"2023-08-29","GRIA"
114,114,107,110,10688600,"2023-08-30","GRIA"
110,117,103,109,12029700,"2023-08-31","GRIA"
109,114,107,110,3795300,"2023-09-01","GRIA"
110,117,110,111,9727700,"2023-09-04","GRIA"
112,117,111,116,6503100,"2023-09-05","GRIA"
118,119,114,114,6327400,"2023-09-06","GRIA"
113,118,111,114,6472400,"2023-09-07","GRIA"
114,116,111,114,2634100,"2023-09-08","GRIA"
115,116,112,113,3391800,"2023-09-11","GRIA"
113,114,112,112,2090800,"2023-09-12","GRIA"
113,113,107,109,3273500,"2023-09-13","GRIA"
110,110,107,108,1364800,"2023-09-14","GRIA"
107,111,105,105,4124800,"2023-09-15","GRIA"
105,106,85,85,101127700,"2023-09-18","GRIA"
94,110,76,102,24506800,"2023-09-19","GRIA"
103,127,102,102,141172600,"2023-09-20","GRIA"
95,106,91,97,14051700,"2023-09-21","GRIA"
91,106,91,104,116983800,"2023-09-22","GRIA"
95,103,95,98,7619100,"2023-09-25","GRIA"
97,100,90,95,9200800,"2023-09-26","GRIA"
90,96,90,94,109263200,"2023-09-27","GRIA"
92,97,92,94,3236800,"2023-09-29","GRIA"
94,96,93,94,2695500,"2023-10-02","GRIA"
97,97,93,94,62271500,"2023-10-03","GRIA"
95,95,91,92,2883400,"2023-10-04","GRIA"
92,104,92,96,17298500,"2023-10-05","GRIA"
97,97,93,94,60614900,"2023-10-06","GRIA"
94,95,92,92,1767100,"2023-10-09","GRIA"
92,98,92,95,44366400,"2023-10-10","GRIA"
95,96,94,94,68100000,"2023-10-11","GRIA"
95,97,94,94,1429800,"2023-10-12","GRIA"
94,95,92,93,1716400,"2023-10-13","GRIA"
93,94,91,91,2584100,"2023-10-16","GRIA"
91,93,91,91,1709500,"2023-10-17","GRIA"
93,93,90,92,86682900,"2023-10-18","GRIA"
93,95,91,93,1722000,"2023-10-19","GRIA"
95,95,92,92,532600,"2023-10-20","GRIA"
92,93,91,93,1118900,"2023-10-23","GRIA"
93,93,91,91,660000,"2023-10-24","GRIA"
92,93,91,92,606600,"2023-10-25","GRIA"
93,94,91,92,1512300,"2023-10-26","GRIA"
92,93,90,91,4053000,"2023-10-27","GRIA"
91,92,89,90,3817800,"2023-10-30","GRIA"
90,91,89,90,1371800,"2023-10-31","GRIA"
90,91,88,90,99603300,"2023-11-01","GRIA"
89,91,89,91,881500,"2023-11-02","GRIA"
91,91,90,90,225100,"2023-11-03","GRIA"
90,91,89,91,388100,"2023-11-06","GRIA"
91,92,90,90,585200,"2023-11-07","GRIA"
90,104,90,95,13767600,"2023-11-08","GRIA"
97,97,93,94,1254400,"2023-11-09","GRIA"
94,96,93,93,705300,"2023-11-10","GRIA"
93,97,92,93,1210200,"2023-11-13","GRIA"
93,102,92,99,9018000,"2023-11-14","GRIA"
99,111,98,101,13069900,"2023-11-15","GRIA"
100,101,98,100,1825700,"2023-11-16","GRIA"
100,106,100,101,71292300,"2023-11-17","GRIA"
102,105,101,103,2618700,"2023-11-20","GRIA"
104,117,102,117,23329000,"2023-11-21","GRIA"
120,120,112,113,6334300,"2023-11-22","GRIA"
112,114,109,110,3543500,"2023-11-23","GRIA"
109,111,108,109,1403000,"2023-11-24","GRIA"
111,112,109,109,1110500,"2023-11-27","GRIA"
111,111,108,109,674000,"2023-11-28","GRIA"
117,119,108,115,13843600,"2023-11-29","GRIA"
115,118,115,115,1707200,"2023-11-30","GRIA"
115,117,115,116,1895900,"2023-12-01","GRIA"
116,117,116,117,1240000,"2023-12-04","GRIA"
117,117,115,116,2255200,"2023-12-05","GRIA"
116,117,115,116,1035000,"2023-12-06","GRIA"
117,117,115,116,886100,"2023-12-07","GRIA"
115,116,115,116,983500,"2023-12-08","GRIA"
115,118,115,115,3901100,"2023-12-11","GRIA"
116,116,115,116,1365300,"2023-12-12","GRIA"
115,117,115,116,1421000,"2023-12-13","GRIA"
115,116,111,112,1376200,"2023-12-14","GRIA"
111,120,110,118,9029600,"2023-12-15","GRIA"
118,122,118,118,2990400,"2023-12-18","GRIA"
118,119,117,117,1131200,"2023-12-19","GRIA"
117,118,116,117,424400,"2023-12-20","GRIA"
118,119,117,118,709500,"2023-12-21","GRIA"
118,118,117,117,577600,"2023-12-22","GRIA"
118,121,117,120,578000,"2023-12-27","GRIA"
121,121,118,120,1074900,"2023-12-28","GRIA"
118,122,118,122,3833800,"2023-12-29","GRIA"
122,124,118,118,226600,"2024-01-02","GRIA"
123,123,117,119,406800,"2024-01-03","GRIA"
117,119,116,119,632600,"2024-01-04","GRIA"
119,120,117,119,182300,"2024-01-05","GRIA"
119,121,117,118,127600,"2024-01-08","GRIA"
119,119,117,117,63000,"2024-01-09","GRIA"
116,117,110,113,1344100,"2024-01-10","GRIA"
113,113,109,109,972600,"2024-01-11","GRIA"
100,114,100,109,1368900,"2024-01-12","GRIA"
109,109,109,109,0,"2024-01-15","GRIA"
109,109,108,108,129600,"2024-01-16","GRIA"
108,110,108,109,159200,"2024-01-17","GRIA"
109,109,108,108,58900,"2024-01-18","GRIA"
108,109,108,108,825900,"2024-01-19","GRIA"
108,145,108,145,121537400,"2024-01-22","GRIA"
162,162,114,116,78386400,"2024-01-23","GRIA"
108,134,108,122,49748600,"2024-01-24","GRIA"
113,125,113,120,5591800,"2024-01-25","GRIA"
116,121,115,116,4559400,"2024-01-26","GRIA"
116,127,116,120,12743400,"2024-01-29","GRIA"
112,123,112,119,2002300,"2024-01-30","GRIA"
111,121,111,117,2125200,"2024-01-31","GRIA"
126,126,115,116,1871900,"2024-02-01","GRIA"
116,118,112,114,1788000,"2024-02-02","GRIA"
106,121,106,120,6721100,"2024-02-05","GRIA"
119,123,117,118,1501300,"2024-02-06","GRIA"
114,122,114,120,1033300,"2024-02-07","GRIA"
112,121,112,117,1202900,"2024-02-12","GRIA"
113,119,113,116,454700,"2024-02-13","GRIA"
115,119,115,118,1466400,"2024-02-15","GRIA"
