"Open","High","Low","Close","Volume","Date","Emiten"
1285,1410,1205,1305,657355200,"2023-04-12","NCKL"
1320,1355,1305,1345,209767600,"2023-04-13","NCKL"
1370,1380,1345,1375,190823800,"2023-04-14","NCKL"
1375,1405,1365,1400,110227800,"2023-04-17","NCKL"
1405,1470,1385,1445,219624500,"2023-04-18","NCKL"
1445,1470,1345,1345,261585500,"2023-04-26","NCKL"
1345,1395,1265,1365,94179000,"2023-04-27","NCKL"
1370,1415,1370,1405,89338700,"2023-04-28","NCKL"
1405,1435,1395,1405,135857600,"2023-05-02","NCKL"
1405,1420,1310,1335,114751300,"2023-05-03","NCKL"
1340,1370,1325,1365,74280900,"2023-05-04","NCKL"
1370,1375,1270,1270,82025800,"2023-05-05","NCKL"
1250,1355,1250,1350,176198300,"2023-05-08","NCKL"
1350,1350,1260,1260,99623200,"2023-05-09","NCKL"
1220,1280,1175,1200,97365700,"2023-05-10","NCKL"
1190,1200,1120,1125,93310000,"2023-05-11","NCKL"
1200,1200,1050,1050,49929700,"2023-05-12","NCKL"
1000,1060,990,1040,79327100,"2023-05-15","NCKL"
1030,1060,980,1010,65273700,"2023-05-16","NCKL"
1005,1110,980,1075,89541800,"2023-05-17","NCKL"
1095,1105,1000,1000,62671700,"2023-05-19","NCKL"
1005,1020,930,930,84447000,"2023-05-22","NCKL"
930,980,880,945,103821600,"2023-05-23","NCKL"
940,950,880,880,61697300,"2023-05-24","NCKL"
880,905,855,860,68383100,"2023-05-25","NCKL"
865,915,865,885,31549800,"2023-05-26","NCKL"
885,905,825,825,56635000,"2023-05-29","NCKL"
805,830,770,775,104001400,"2023-05-30","NCKL"
750,820,750,810,51611900,"2023-05-31","NCKL"
810,915,810,895,132104700,"2023-06-05","NCKL"
900,915,815,875,105564900,"2023-06-06","NCKL"
875,905,870,895,57291800,"2023-06-07","NCKL"
895,990,895,950,130586800,"2023-06-08","NCKL"
955,955,890,900,113426800,"2023-06-09","NCKL"
900,925,890,905,38496300,"2023-06-12","NCKL"
915,920,900,905,16971900,"2023-06-13","NCKL"
920,990,920,980,89666700,"2023-06-14","NCKL"
995,1000,950,975,58096700,"2023-06-15","NCKL"
980,1045,975,1030,60126000,"2023-06-16","NCKL"
1030,1080,990,995,90334800,"2023-06-19","NCKL"
1000,1010,955,955,50559600,"2023-06-20","NCKL"
955,1010,955,1005,31554100,"2023-06-21","NCKL"
1005,1020,985,1005,15581000,"2023-06-22","NCKL"
1005,1015,995,995,18493000,"2023-06-23","NCKL"
995,1000,965,990,20998800,"2023-06-26","NCKL"
990,990,935,935,56315300,"2023-06-27","NCKL"
935,995,935,955,33288400,"2023-07-03","NCKL"
955,970,935,945,34603500,"2023-07-04","NCKL"
945,955,925,925,47533600,"2023-07-05","NCKL"
935,955,910,920,53245000,"2023-07-06","NCKL"
920,975,910,965,48628000,"2023-07-07","NCKL"
965,970,930,935,40414000,"2023-07-10","NCKL"
925,940,905,905,46929600,"2023-07-11","NCKL"
910,920,870,895,58536000,"2023-07-12","NCKL"
940,940,910,915,58548200,"2023-07-13","NCKL"
920,945,915,930,21243600,"2023-07-14","NCKL"
935,945,900,905,35982600,"2023-07-17","NCKL"
910,915,870,875,49910200,"2023-07-18","NCKL"
875,915,875,905,28183500,"2023-07-20","NCKL"
915,915,890,895,13409000,"2023-07-21","NCKL"
895,905,880,900,18348500,"2023-07-24","NCKL"
900,935,895,910,35097900,"2023-07-25","NCKL"
925,965,920,950,99069500,"2023-07-26","NCKL"
960,960,925,945,33645200,"2023-07-27","NCKL"
950,955,910,950,33142000,"2023-07-28","NCKL"
960,965,940,940,18525900,"2023-07-31","NCKL"
940,950,890,900,78950000,"2023-08-01","NCKL"
900,935,895,925,32516600,"2023-08-02","NCKL"
925,990,920,980,128767200,"2023-08-03","NCKL"
985,990,955,955,52148100,"2023-08-04","NCKL"
955,975,950,975,33339300,"2023-08-07","NCKL"
975,1020,965,985,78669400,"2023-08-08","NCKL"
985,990,940,950,59034300,"2023-08-09","NCKL"
950,955,925,935,22360900,"2023-08-10","NCKL"
935,945,910,920,27611200,"2023-08-11","NCKL"
925,940,910,930,16040200,"2023-08-14","NCKL"
930,940,915,930,18151100,"2023-08-15","NCKL"
930,930,910,915,17528400,"2023-08-16","NCKL"
920,925,905,905,16149800,"2023-08-18","NCKL"
905,915,900,910,12751500,"2023-08-21","NCKL"
910,935,895,930,30610100,"2023-08-22","NCKL"
930,1010,930,975,173522300,"2023-08-23","NCKL"
965,995,960,960,76087200,"2023-08-24","NCKL"
955,960,930,940,50948600,"2023-08-25","NCKL"
945,950,920,945,30063500,"2023-08-28","NCKL"
950,950,915,915,35688200,"2023-08-29","NCKL"
915,945,915,935,27836400,"2023-08-30","NCKL"
940,960,930,935,35209500,"2023-08-31","NCKL"
935,940,920,925,18334400,"2023-09-01","NCKL"
935,1015,930,995,187785100,"2023-09-04","NCKL"
995,1035,975,1010,145908300,"2023-09-05","NCKL"
1010,1070,1000,1065,146286000,"2023-09-06","NCKL"
1075,1080,1020,1025,117997900,"2023-09-07","NCKL"
1030,1040,995,995,92209100,"2023-09-08","NCKL"
985,1025,980,1015,56040700,"2023-09-11","NCKL"
1020,1030,990,995,46460400,"2023-09-12","NCKL"
995,1020,985,1005,34166100,"2023-09-13","NCKL"
1010,1115,1010,1110,158346800,"2023-09-14","NCKL"
1120,1175,1090,1125,135594500,"2023-09-15","NCKL"
1125,1165,1105,1115,119115400,"2023-09-18","NCKL"
1115,1160,1105,1120,117103200,"2023-09-19","NCKL"
1130,1150,1120,1135,59351200,"2023-09-20","NCKL"
1140,1145,1110,1120,92078800,"2023-09-21","NCKL"
1115,1155,1110,1150,66889500,"2023-09-22","NCKL"
1150,1205,1150,1170,134433400,"2023-09-25","NCKL"
1170,1175,1100,1115,124699300,"2023-09-26","NCKL"
1120,1140,1105,1130,58715900,"2023-09-27","NCKL"
1135,1135,1085,1085,77430700,"2023-09-29","NCKL"
1080,1090,1030,1070,94620200,"2023-10-02","NCKL"
1070,1095,1060,1075,36716900,"2023-10-03","NCKL"
1065,1070,1000,1000,87527700,"2023-10-04","NCKL"
1000,1030,950,950,88331100,"2023-10-05","NCKL"
945,990,935,980,85971400,"2023-10-06","NCKL"
980,995,960,985,40810500,"2023-10-09","NCKL"
990,1010,990,990,40923500,"2023-10-10","NCKL"
985,1010,985,985,24740400,"2023-10-11","NCKL"
995,1005,965,1000,27557800,"2023-10-12","NCKL"
1005,1005,970,995,31725400,"2023-10-13","NCKL"
1005,1005,970,980,23749800,"2023-10-16","NCKL"
985,1010,980,995,22557200,"2023-10-17","NCKL"
995,1005,975,985,25123900,"2023-10-18","NCKL"
985,995,975,980,14647300,"2023-10-19","NCKL"
980,1000,970,995,16163800,"2023-10-20","NCKL"
995,1000,970,980,24986600,"2023-10-23","NCKL"
980,1010,980,1000,25692900,"2023-10-24","NCKL"
1005,1005,970,980,36947200,"2023-10-25","NCKL"
980,985,970,980,20089200,"2023-10-26","NCKL"
985,1000,980,995,10692300,"2023-10-27","NCKL"
995,1000,975,980,9834700,"2023-10-30","NCKL"
980,985,940,975,21643300,"2023-10-31","NCKL"
975,975,930,945,20243700,"2023-11-01","NCKL"
945,975,940,965,16231500,"2023-11-02","NCKL"
970,980,955,965,11922600,"2023-11-03","NCKL"
970,975,950,965,15197600,"2023-11-06","NCKL"
970,975,955,955,5871000,"2023-11-07","NCKL"
965,985,955,975,24253600,"2023-11-08","NCKL"
975,990,975,975,7147700,"2023-11-09","NCKL"
975,1005,970,995,23028600,"2023-11-10","NCKL"
995,1090,990,1070,73334500,"2023-11-13","NCKL"
1075,1090,1035,1035,45868300,"2023-11-14","NCKL"
1035,1060,1030,1040,21611200,"2023-11-15","NCKL"
1040,1060,1030,1045,20787200,"2023-11-16","NCKL"
1050,1095,1035,1085,64492400,"2023-11-17","NCKL"
1090,1125,1040,1070,71347300,"2023-11-20","NCKL"
1070,1075,1045,1050,22150900,"2023-11-21","NCKL"
1050,1050,1010,1025,48343800,"2023-11-22","NCKL"
1025,1045,1005,1030,33260200,"2023-11-23","NCKL"
1030,1040,1010,1015,19417300,"2023-11-24","NCKL"
1015,1035,1010,1025,17613700,"2023-11-27","NCKL"
1025,1060,1020,1055,31669700,"2023-11-28","NCKL"
1065,1090,1035,1040,37853300,"2023-11-29","NCKL"
1045,1050,1015,1015,27815200,"2023-11-30","NCKL"
1030,1065,1015,1055,57831400,"2023-12-01","NCKL"
1060,1080,1040,1045,47955600,"2023-12-04","NCKL"
1045,1050,1000,1000,68285500,"2023-12-05","NCKL"
1005,1030,1000,1015,32516200,"2023-12-06","NCKL"
1015,1025,990,1020,29763200,"2023-12-07","NCKL"
1025,1045,1010,1030,34650200,"2023-12-08","NCKL"
1035,1075,1035,1040,47641500,"2023-12-11","NCKL"
1040,1060,1030,1050,20413100,"2023-12-12","NCKL"
1050,1060,1030,1030,32109400,"2023-12-13","NCKL"
1045,1060,1030,1050,41458300,"2023-12-14","NCKL"
1060,1065,1030,1060,325473700,"2023-12-15","NCKL"
1075,1105,1050,1050,57865600,"2023-12-18","NCKL"
1050,1055,1020,1030,20443400,"2023-12-19","NCKL"
1030,1055,1025,1030,14796800,"2023-12-20","NCKL"
