"Open","High","Low","Close","Volume","Date","Emiten"
222,222,174,181,480204600,"2023-11-08","IKPM"
182,186,168,170,65823400,"2023-11-09","IKPM"
170,176,166,172,25751500,"2023-11-10","IKPM"
164,176,164,170,18941400,"2023-11-13","IKPM"
172,176,170,173,17170000,"2023-11-14","IKPM"
172,173,170,171,7517900,"2023-11-15","IKPM"
171,174,169,169,7441400,"2023-11-16","IKPM"
167,171,167,168,5918000,"2023-11-17","IKPM"
168,171,166,170,10267200,"2023-11-20","IKPM"
171,180,171,173,21760600,"2023-11-21","IKPM"
173,174,170,173,8183100,"2023-11-22","IKPM"
173,176,172,174,10758600,"2023-11-23","IKPM"
175,185,174,175,22215400,"2023-11-24","IKPM"
176,181,175,179,9989800,"2023-11-27","IKPM"
180,182,177,177,6490100,"2023-11-28","IKPM"
177,202,176,189,98262300,"2023-11-29","IKPM"
190,193,185,186,12476200,"2023-11-30","IKPM"
187,191,182,185,14050300,"2023-12-01","IKPM"
186,195,185,195,19524500,"2023-12-04","IKPM"
196,206,191,196,37024400,"2023-12-05","IKPM"
197,200,193,195,16066400,"2023-12-06","IKPM"
195,199,187,192,12824500,"2023-12-07","IKPM"
192,195,188,192,10935100,"2023-12-08","IKPM"
193,197,189,191,13107200,"2023-12-11","IKPM"
191,193,187,190,10642600,"2023-12-12","IKPM"
190,212,190,208,55897100,"2023-12-13","IKPM"
210,214,199,202,23151900,"2023-12-14","IKPM"
202,208,200,206,15312800,"2023-12-15","IKPM"
206,210,202,208,10259700,"2023-12-18","IKPM"
210,210,202,204,7182800,"2023-12-19","IKPM"
202,206,200,202,7435500,"2023-12-20","IKPM"
202,206,200,200,5953700,"2023-12-21","IKPM"
202,212,200,208,13360400,"2023-12-22","IKPM"
210,220,202,208,19392200,"2023-12-27","IKPM"
208,210,202,202,5337000,"2023-12-28","IKPM"
204,206,202,202,5376800,"2023-12-29","IKPM"
202,208,202,206,5551500,"2024-01-02","IKPM"
208,216,206,214,12513500,"2024-01-03","IKPM"
216,216,208,216,14922300,"2024-01-04","IKPM"
216,226,208,226,11496800,"2024-01-05","IKPM"
226,232,222,230,9677800,"2024-01-08","IKPM"
232,270,230,256,93775400,"2024-01-09","IKPM"
254,264,252,252,44590800,"2024-01-10","IKPM"
254,260,232,244,33790700,"2024-01-11","IKPM"
246,258,240,258,34892200,"2024-01-12","IKPM"
258,258,258,258,0,"2024-01-15","IKPM"
262,262,244,250,11900300,"2024-01-16","IKPM"
250,252,240,252,12082700,"2024-01-17","IKPM"
250,256,242,246,9982700,"2024-01-18","IKPM"
246,270,244,264,38245100,"2024-01-19","IKPM"
268,270,240,240,24825200,"2024-01-22","IKPM"
240,250,234,246,21340100,"2024-01-23","IKPM"
228,256,228,248,13087500,"2024-01-24","IKPM"
228,254,228,252,75360300,"2024-01-25","IKPM"
248,254,218,220,24689100,"2024-01-26","IKPM"
206,230,206,228,5916400,"2024-01-29","IKPM"
212,232,212,230,4494700,"2024-01-30","IKPM"
214,238,214,236,7496100,"2024-01-31","IKPM"
218,238,218,226,6452900,"2024-02-01","IKPM"
216,236,216,230,6427800,"2024-02-02","IKPM"
216,242,216,240,6987300,"2024-02-05","IKPM"
240,250,234,238,10616800,"2024-02-06","IKPM"
234,242,234,236,4882400,"2024-02-07","IKPM"
218,244,218,238,3694100,"2024-02-12","IKPM"
222,254,222,252,16344600,"2024-02-13","IKPM"
254,282,254,282,63853300,"2024-02-15","IKPM"
284,286,268,276,12483400,"2024-02-16","IKPM"
280,280,258,264,8760500,"2024-02-19","IKPM"
264,268,256,260,7510700,"2024-02-20","IKPM"
258,262,252,260,9244600,"2024-02-21","IKPM"
262,266,254,256,6326200,"2024-02-22","IKPM"
254,268,252,264,9108600,"2024-02-23","IKPM"
264,264,256,260,9476000,"2024-02-26","IKPM"
260,266,258,258,6156200,"2024-02-27","IKPM"
258,262,252,258,8445800,"2024-02-28","IKPM"
258,260,252,252,5586000,"2024-02-29","IKPM"
252,258,248,250,4573600,"2024-03-01","IKPM"
250,254,248,248,5080500,"2024-03-04","IKPM"
248,254,240,254,4408100,"2024-03-05","IKPM"
238,264,238,260,4096300,"2024-03-06","IKPM"
264,276,260,274,9499600,"2024-03-07","IKPM"
274,274,266,266,4958700,"2024-03-08","IKPM"
266,276,262,264,3193100,"2024-03-13","IKPM"
262,272,258,258,3940100,"2024-03-14","IKPM"
258,264,256,258,2482700,"2024-03-15","IKPM"
258,268,256,260,4020900,"2024-03-18","IKPM"
262,268,260,264,1820000,"2024-03-19","IKPM"
264,272,262,268,5047500,"2024-03-20","IKPM"
268,278,268,274,4194300,"2024-03-21","IKPM"
274,278,268,268,1790900,"2024-03-22","IKPM"
268,268,268,268,0,"2024-03-25","IKPM"
268,268,268,268,0,"2024-03-26","IKPM"
288,314,288,312,11584200,"2024-03-27","IKPM"
314,318,302,312,4178000,"2024-03-28","IKPM"
312,314,292,294,6821600,"2024-04-01","IKPM"
294,302,290,302,2094500,"2024-04-02","IKPM"
302,310,302,304,2330200,"2024-04-03","IKPM"
304,330,300,320,5210000,"2024-04-04","IKPM"
322,326,306,308,5541300,"2024-04-05","IKPM"
308,308,294,300,3498700,"2024-04-16","IKPM"
300,308,294,302,2968700,"2024-04-17","IKPM"
306,306,296,302,4727800,"2024-04-18","IKPM"
296,302,292,294,3108800,"2024-04-19","IKPM"
294,302,290,300,9753700,"2024-04-22","IKPM"
302,330,300,328,27256700,"2024-04-23","IKPM"
328,332,318,320,9426000,"2024-04-24","IKPM"
320,324,314,316,2010400,"2024-04-25","IKPM"
318,318,310,312,2680600,"2024-04-26","IKPM"
312,312,234,234,16224900,"2024-04-29","IKPM"
232,234,210,234,84505800,"2024-04-30","IKPM"
216,236,216,230,2149900,"2024-05-02","IKPM"
214,232,214,230,8540100,"2024-05-03","IKPM"
212,252,212,252,6653400,"2024-05-06","IKPM"
256,260,244,250,2246800,"2024-05-07","IKPM"
252,252,246,246,1923100,"2024-05-08","IKPM"
246,256,246,250,7974000,"2024-05-13","IKPM"
250,252,236,242,7370600,"2024-05-14","IKPM"
242,248,242,248,2044400,"2024-05-15","IKPM"
248,252,244,248,5155400,"2024-05-16","IKPM"
248,254,248,250,2322300,"2024-05-17","IKPM"
252,254,248,248,2626700,"2024-05-20","IKPM"
250,254,238,240,11926000,"2024-05-21","IKPM"
240,246,238,240,3434400,"2024-05-22","IKPM"
240,244,234,240,4333800,"2024-05-27","IKPM"
242,242,236,236,2047000,"2024-05-28","IKPM"
238,238,228,230,747200,"2024-05-29","IKPM"
232,232,226,226,1532700,"2024-05-30","IKPM"
226,230,212,218,2971900,"2024-05-31","IKPM"
216,232,216,228,7632900,"2024-06-03","IKPM"
230,232,228,228,1824700,"2024-06-04","IKPM"
228,230,220,230,4232400,"2024-06-05","IKPM"
